Wavelength (µm) raw,SynOl_Fo50 raw,Wavelength (µm) bin avg,SynOl_Fo50 bin avg,Wavelength (µm) cubic spline of bin avg,SynOl_Fo50 cubic spline of bin avg
1.395,0.41267,2.63185,0.7858225,2.6318547058823527,0.7858222860471793
1.4,0.41795,2.64183,0.7853300000000001,2.6418356862745096,0.7853296623016669
1.405,0.42306,2.65182,0.784655,2.6518166666666665,0.784655225842344
1.41,0.42776,2.6618,0.78395,2.6617976470588234,0.7839501981964762
1.415,0.43213,2.67178,0.78273,2.6717786274509803,0.7827302387429581
1.42,0.43727,2.68176,0.7806785714285714,2.681759607843137,0.7806786511761685
1.425,0.44113,2.69174,0.77851125,2.691740588235294,0.778511084824774
1.43,0.44582,2.70172,0.7748385714285716,2.701721568627451,0.7748378984925134
1.435,0.45,2.7117,0.770137142857143,2.711702549019608,0.7701358160290105
1.44,0.45533,2.72168,0.7643471428571429,2.7216835294117647,0.7643448744111503
1.445,0.4614,2.73166,0.7574957142857144,2.7316645098039216,0.7574925181624393
1.45,0.46656,2.74164,0.7503557142857142,2.7416454901960785,0.7503517156323417
1.455,0.47143,2.75163,0.74282,2.7516264705882354,0.7428227785952174
1.46,0.47736,2.76161,0.7345071428571428,2.7616074509803923,0.734509397237591
1.465,0.4829,2.77159,0.7252728571428572,2.7715884313725487,0.7252743468786366
1.47,0.48813,2.78157,0.7160428571428571,2.7815694117647056,0.7160433672223486
1.475,0.49302,2.79155,0.7081383333333333,2.7915503921568625,0.7081380461059913
1.48,0.49919,2.80153,0.7011942857142858,2.8015313725490194,0.7011933707184492
1.485,0.50475,2.81151,0.6948233333333333,2.8115123529411763,0.6948219133508436
1.49,0.50983,2.82149,0.6892800000000001,2.821493333333333,0.6892783307466225
1.495,0.51596,2.83147,0.6847466666666667,2.83147431372549,0.684744844710824
1.5,0.52182,2.84145,0.680702857142857,2.841455294117647,0.6807008029500121
1.505,0.52715,2.85144,0.6771050000000001,2.851436274509804,0.677106198058038
1.51,0.53302,2.86142,0.6742349999999999,2.8614172549019607,0.6742357379615923
1.515,0.53851,2.8714,0.6716357142857142,2.8713982352941176,0.6716361505207287
1.52,0.54427,2.88138,0.6694483333333334,2.8813792156862745,0.6694484755035817
1.525,0.5504,2.89136,0.667965,2.8913601960784314,0.6679649742801551
1.53,0.55525,2.90134,0.6665983333333333,2.9013411764705883,0.6665981559595905
1.535,0.56115,2.91132,0.6651066666666666,2.911322156862745,0.665106397109564
1.54,0.56685,2.9213,0.6641142857142857,2.9213031372549016,0.6641139845335136
1.545,0.57253,2.93128,0.6630839999999999,2.9312841176470585,0.6630835921849443
1.55,0.57777,2.94126,0.6622316666666667,2.9412650980392154,0.6622312907978023
1.555,0.58305,2.95125,0.6616316666666667,2.9512460784313723,0.6616318330637071
1.56,0.5878,2.96123,0.6612616666666667,2.961227058823529,0.6612618076927517
1.565,0.59328,2.97121,0.66077,2.971208039215686,0.6607700485837635
1.57,0.59838,2.98119,0.6608516666666667,2.981189019607843,0.660851643351092
1.575,0.60367,2.99117,0.6608983333333334,2.99117,0.6608983333333335
1.58,0.6094,,,,
1.585,0.61431,,,,
1.59,0.61884,,,,
1.595,0.62402,,,,
1.6,0.62866,,,,
1.605,0.63364,,,,
1.61,0.63835,,,,
1.615,0.64247,,,,
1.62,0.64698,,,,
1.625,0.65192,,,,
1.63,0.65561,,,,
1.635,0.65987,,,,
1.64,0.66366,,,,
1.645,0.66702,,,,
1.65,0.6717,,,,
1.655,0.67491,,,,
1.66,0.6789,,,,
1.665,0.68288,,,,
1.67,0.68703,,,,
1.675,0.6904,,,,
1.68,0.6934,,,,
1.685,0.69551,,,,
1.69,0.69898,,,,
1.695,0.7014,,,,
1.7,0.70153,,,,
1.705,0.70498,,,,
1.71,0.70886,,,,
1.715,0.7123,,,,
1.72,0.71518,,,,
1.725,0.71828,,,,
1.73,0.72044,,,,
1.735,0.72283,,,,
1.74,0.72451,,,,
1.745,0.72634,,,,
1.75,0.728,,,,
1.755,0.7321,,,,
1.76,0.73429,,,,
1.765,0.73695,,,,
1.77,0.73817,,,,
1.775,0.74047,,,,
1.78,0.74071,,,,
1.785,0.7422,,,,
1.79,0.7439,,,,
1.795,0.74515,,,,
1.8,0.7468,,,,
1.805,0.7482,,,,
1.81,0.7498,,,,
1.815,0.75019,,,,
1.82,0.75156,,,,
1.825,0.75351,,,,
1.83,0.75393,,,,
1.835,0.75394,,,,
1.84,0.75408,,,,
1.845,0.75425,,,,
1.85,0.7554,,,,
1.8512,0.75534,,,,
1.8519,0.75547,,,,
1.8526,0.75553,,,,
1.8532,0.7555,,,,
1.8539,0.75567,,,,
1.8545,0.75572,,,,
1.8552,0.75575,,,,
1.8559,0.75592,,,,
1.8565,0.75604,,,,
