Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
1.716,0.794397,,,,
1.724,0.79474,,,,
1.732,0.791824,,,,
1.74,0.795002,,,,
1.748,0.796312,,,,
1.756,0.792783,,,,
1.764,0.793913,,,,
1.772,0.795112,,,,
1.78,0.792699,,,,
1.788,0.792706,,,,
1.796,0.796499,,,,
1.805,0.796692,,,,
1.815,0.79274,,,,
1.825,0.792123,,,,
1.835,0.795294,,,,
1.845,0.793629,,,,
1.85016,0.795495,,,,
1.85082,0.79539,,,,
1.85148,0.79539,,,,
1.85214,0.795707,,,,
1.85281,0.79539,,,,
1.85347,0.795072,,,,
1.85413,0.795178,,,,
1.8548,0.795495,,,,
1.85546,0.795918,,,,
1.85612,0.795918,,,,
1.85679,0.79539,,,,
1.85745,0.796024,,,,
1.85812,0.796553,,,,
1.85879,0.796342,,,,
1.85945,0.795812,,,,
1.86012,0.795918,,,,
1.86079,0.796659,,,,
1.86146,0.797399,,,,
1.86212,0.797294,,,,
1.86279,0.797083,,,,
1.86346,0.797189,,,,
1.86413,0.796977,,,,
1.8648,0.797611,,,,
1.86547,0.797823,,,,
1.86615,0.797505,,,,
1.86682,0.796871,,,,
1.86749,0.796659,,,,
1.86816,0.797399,,,,
1.86884,0.797717,,,,
1.86951,0.797399,,,,
1.87018,0.796765,,,,
1.87086,0.796342,,,,
1.87154,0.796977,,,,
1.87221,0.796977,,,,
1.87289,0.796342,,,,
1.87357,0.796977,,,,
1.87424,0.797505,,,,
1.87492,0.797399,,,,
1.8756,0.797189,,,,
1.87628,0.797083,,,,
1.87696,0.797399,,,,
1.87764,0.797717,,,,
1.87832,0.797399,,,,
1.879,0.797083,,,,
1.87968,0.797189,,,,
1.88036,0.796871,,,,
1.88104,0.796977,,,,
1.88173,0.796977,,,,
1.88241,0.796447,,,,
1.88309,0.796236,,,,
1.88378,0.796024,,,,
1.88446,0.796236,,,,
1.88515,0.796447,,,,
1.88583,0.79613,,,,
1.88652,0.795707,,,,
1.88721,0.795707,,,,
1.88789,0.795178,,,,
1.88858,0.795284,,,,
1.88927,0.795072,,,,
1.88996,0.794438,,,,
1.89065,0.794438,,,,
1.89134,0.794332,,,,
1.89203,0.794014,,,,
1.89272,0.793802,,,,
1.89341,0.79359,,,,
1.8941,0.793273,,,,
1.89479,0.792956,,,,
1.89549,0.792744,,,,
1.89618,0.792427,,,,
