Wavelength (nm),BKR1KW003D anorthite Kierra <45µm
3034.18,0.719038
3035.96,0.719294
3037.73,0.71945
3039.52,0.7195
3041.3,0.719603
3043.08,0.719733
3044.87,0.719853
3046.66,0.719917
3048.45,0.719965
3050.24,0.720159
3052.04,0.720264
3053.83,0.720244
3055.63,0.720299
3057.44,0.720439
3059.24,0.720544
3061.05,0.720729
3062.85,0.720896
3064.66,0.720915
3066.48,0.720966
3068.29,0.721143
3070.11,0.721385
3071.93,0.72151
3073.75,0.721582
3075.57,0.721683
3077.4,0.721757
3079.22,0.721939
3081.05,0.722076
3082.88,0.722106
3084.72,0.722264
3086.55,0.722415
3088.39,0.722538
3090.23,0.72274
3092.08,0.722948
3093.92,0.723043
3095.77,0.723141
3097.62,0.723352
3099.47,0.723642
3101.32,0.723832
3103.18,0.723979
3105.04,0.724245
3106.9,0.724514
3108.76,0.724751
3110.62,0.724977
3112.49,0.725264
3114.36,0.725609
3116.23,0.725861
3118.11,0.726052
3119.98,0.726319
3121.86,0.726631
3123.74,0.726943
3125.62,0.727225
3127.51,0.727519
3129.4,0.727851
3131.29,0.728195
3133.18,0.7285
3135.07,0.72891
3136.97,0.729344
3138.87,0.729724
3140.77,0.730061
3142.67,0.730404
3144.58,0.730823
3146.49,0.731287
3148.4,0.731614
3150.31,0.731919
3152.23,0.732419
3154.14,0.732891
3156.06,0.733312
3157.98,0.733726
3159.91,0.734091
3161.84,0.734488
3163.76,0.734977
3165.7,0.735545
3167.63,0.735948
3169.57,0.73631
3171.5,0.736852
3173.45,0.73731
3175.39,0.737694
3177.33,0.738146
3179.28,0.738604
3181.23,0.739083
3183.19,0.739648
3185.14,0.74023
3187.1,0.740688
3189.06,0.741169
3191.02,0.741671
3192.99,0.74207
3194.95,0.742563
3196.92,0.743167
3198.9,0.7438
3200.87,0.744356
3202.85,0.744847
3204.83,0.745422
3206.81,0.745957
3208.79,0.746426
3210.78,0.747003
3212.77,0.747613
3214.76,0.748113
3216.76,0.748626
3218.75,0.749229
3220.75,0.749778
3222.75,0.750372
3224.76,0.751034
3226.76,0.751626
3228.77,0.752166
3230.78,0.752785
3232.8,0.753489
3234.81,0.753962
3236.83,0.754392
3238.86,0.754871
3240.88,0.755357
3242.91,0.755943
3244.94,0.756557
3246.97,0.757202
3249.0,0.757731
3251.04,0.758263
3253.08,0.758838
3255.12,0.75936
3257.17,0.759908
3259.21,0.760461
3261.26,0.761051
3263.32,0.761681
3265.37,0.762199
3267.43,0.762764
3269.49,0.763407
3271.55,0.76406
3273.62,0.764637
3275.68,0.765131
3277.76,0.765598
3279.83,0.76621
3281.9,0.766912
3283.98,0.767487
3286.06,0.767963
3288.15,0.768463
3290.23,0.768985
3292.32,0.769557
3294.41,0.770105
3296.51,0.770571
3298.6,0.77102
3300.7,0.771452
3302.81,0.771974
3304.91,0.772529
3307.02,0.773095
3309.13,0.773672
3311.24,0.774148
3313.36,0.774665
3315.48,0.775166
3317.6,0.775698
3319.72,0.776104
3321.85,0.776506
3323.98,0.777004
3326.11,0.777486
3328.25,0.777967
3330.38,0.778407
3332.52,0.778815
3334.67,0.779238
3336.81,0.779574
3338.96,0.77993
3341.11,0.780259
3343.27,0.780522
3345.42,0.780767
3347.58,0.781028
3349.75,0.781178
3351.91,0.781243
3354.08,0.781296
3356.25,0.781285
3358.42,0.781405
3360.6,0.781441
3362.78,0.781259
3364.96,0.780932
3367.15,0.780627
3369.33,0.780241
3371.53,0.779765
3373.72,0.779375
3375.92,0.779022
3378.11,0.778925
3380.32,0.779133
3382.52,0.77951
3384.73,0.779971
3386.94,0.780552
3389.15,0.781191
3391.37,0.781375
3393.59,0.781022
3395.81,0.780311
3398.04,0.77919
3400.27,0.77758
3402.5,0.77565
3404.73,0.773643
3406.97,0.771446
3409.21,0.769134
3411.45,0.766769
3413.7,0.764517
3415.95,0.762619
3418.2,0.761308
3420.45,0.760652
3422.71,0.760424
3424.97,0.760549
3427.23,0.761543
3429.5,0.764438
3431.77,0.769792
3434.04,0.775892
3436.32,0.780664
3438.6,0.783967
3440.88,0.786226
3443.16,0.788078
3445.45,0.789705
3447.74,0.791069
3450.04,0.792397
3452.33,0.793737
3454.63,0.794965
3456.94,0.796125
3459.24,0.797193
3461.55,0.798158
3463.86,0.799058
3466.18,0.799836
3468.5,0.800477
3470.82,0.801041
3473.15,0.801523
3475.47,0.80197
3477.8,0.802315
3480.14,0.802504
3482.47,0.802663
3484.81,0.802653
3487.16,0.802431
3489.5,0.80172
3491.85,0.800396
3494.21,0.798494
3496.56,0.796152
3498.92,0.794017
3501.29,0.79246
3503.65,0.791223
3506.02,0.789999
3508.39,0.789214
3510.77,0.791433
3513.15,0.797503
3515.53,0.804059
3517.91,0.808687
3520.3,0.811792
3522.69,0.814119
3525.09,0.815865
3527.49,0.817265
3529.89,0.818432
3532.29,0.819408
3534.7,0.820357
3537.11,0.821107
3539.53,0.821588
3541.94,0.822268
3544.36,0.823018
3546.79,0.823586
3549.22,0.824114
3551.65,0.82465
3554.08,0.825273
3556.52,0.825817
3558.96,0.826406
3561.4,0.826988
3563.85,0.827519
3566.3,0.827995
3568.76,0.828481
3571.21,0.828942
3573.67,0.829484
3576.14,0.830036
3578.61,0.830425
3581.08,0.830763
3583.55,0.831212
3586.03,0.831651
3588.51,0.832065
3591.0,0.832482
3593.49,0.832842
3595.98,0.833259
3598.48,0.833632
3600.99,0.834
3603.49,0.834458
3605.99,0.834923
3608.5,0.835377
3611.02,0.835814
3613.53,0.836213
3616.05,0.836601
3618.58,0.836976
3621.1,0.837367
3623.63,0.837746
3626.17,0.838132
3628.71,0.838503
3631.25,0.838854
3633.79,0.839253
3636.34,0.839635
3638.89,0.840052
3641.45,0.840449
3644.01,0.84076
3646.57,0.841069
3649.13,0.841422
3651.7,0.841826
3654.28,0.842229
3656.85,0.84262
3659.43,0.842936
3662.02,0.843263
3664.61,0.843583
3667.2,0.843927
