Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
1.31,0.40715,2.46218,0.59836,2.462178039215686,0.5983599730718686
1.315,0.41068,2.47216,0.5986750000000001,2.472159019607843,0.5986749747669999
1.32,0.41466,2.48214,0.5987966666666668,2.48214,0.5987966666666668
1.325,0.41782,2.49212,0.59902,2.4921209803921567,0.5990200192582921
1.33,0.42263,2.5021,0.5991949999999999,2.5021019607843136,0.5991950521224143
1.335,0.42545,2.51208,0.599505,2.5120829411764705,0.5995050583089065
1.34,0.42931,2.52206,0.599595,2.5220639215686274,0.5995950562296929
1.345,0.43292,2.53204,0.5998,2.5320449019607842,0.5998000564308065
1.35,0.43698,2.54203,0.59985,2.542025882352941,0.5998499331899154
1.355,0.44081,2.55201,0.60006,2.552006862745098,0.6000599946316456
1.36,0.44544,2.56199,0.59992,2.561987843137255,0.599920004300222
1.365,0.44906,2.57197,0.600055,2.571968823529412,0.6000549944188851
1.37,0.45349,2.58195,0.59988,2.5819498039215687,0.599880005686096
1.375,0.45789,2.59193,0.599585,2.5919307843137256,0.5995849764500129
1.38,0.46235,2.60191,0.59939,2.601911764705882,0.5993900032029846
1.385,0.46571,2.61189,0.599545,2.611892745098039,0.5995450295329768
1.39,0.47067,2.62187,0.59949,2.621873725490196,0.5994899448276385
1.395,0.47551,2.63185,0.5993949999999999,2.6318547058823527,0.5993950159476729
1.4,0.4795,2.64183,0.599355,2.6418356862745096,0.5993547763846184
1.405,0.48402,2.65182,0.59844,2.6518166666666665,0.5984404431556546
1.41,0.48795,2.6618,0.596815,2.6617976470588234,0.5968154521376966
1.415,0.49332,2.67178,0.59473,2.6717786274509803,0.5947302931948195
1.42,0.49652,2.68176,0.591995,2.681759607843137,0.5919951577550413
1.425,0.5006,2.69174,0.585005,2.691740588235294,0.5850043525695818
1.43,0.5048,2.70172,0.5703050000000001,2.701721568627451,0.5703023092293796
1.435,0.50897,2.7117,0.554305,2.711702549019608,0.5543017721330135
1.44,0.51218,2.72168,0.54504,2.7216835294117647,0.5450371286912333
1.445,0.51645,2.73166,0.534795,2.7316645098039216,0.53478893673414
