Wavelength (µm),ALH-271 spot f,Wavelength (µm) target,ALH-271 spot f target
2.9059,0.099295,,
2.9075,0.099188,,
2.9092,0.09836,,
2.9108,0.097724,,
2.9124,0.097734,,
2.9141,0.098305,,
2.9156999999999997,0.098599,,
2.9174,0.098647,,
2.919,0.098733,,
2.9206,0.098079,,
2.9223000000000003,0.097758,,
2.9239,0.097832,,
2.9255999999999998,0.097809,,
2.9272,0.098275,,
2.9289,0.098594,,
2.9305,0.097992,,
2.9322,0.097945,,
2.9339,0.098156,,
2.9355,0.097868,,
2.9372,0.097773,,
2.9389000000000003,0.097004,,
2.9405,0.096687,,
2.9421999999999997,0.097391,,
2.9439,0.098098,,
2.9455,0.09779,,
2.9471999999999996,0.097202,,
2.9489,0.097441,,
2.9506,0.097334,,
2.9522,0.096998,,
2.9539,0.096987,,
2.9556,0.09723,,
2.9573,0.096859,,
2.959,0.096674,,
2.9606999999999997,0.09713,,
2.9624,0.097074,,
2.9640999999999997,0.096676,,
2.9658,0.096851,,
2.9674,0.096759,,
2.9691,0.096057,,
2.9709,0.095778,,
2.9726,0.09621,,
2.9743000000000004,0.096574,,
2.976,0.096723,,
2.9777,0.096591,,
2.9794,0.09637,,
2.9811,0.096557,,
2.9828,0.0965,,
2.9845,0.09597,,
2.9863000000000004,0.095648,,
2.988,0.095427,,
2.9897,0.095769,,
2.9914,0.096119,,
2.9931,0.096035,,
2.9949,0.09587,,
2.9966,0.095703,,
2.9983,0.096065,,
3.0000999999999998,0.09611,,
3.0018000000000002,0.09625,,
3.0036,0.096668,,
3.0053,0.096738,,
3.007,0.096036,,
3.0088000000000004,0.096078,,
3.0105,0.096308,,
3.0123,0.096008,,
3.014,0.095969,,
3.0158,0.096146,,
3.0175,0.096423,,
3.0193000000000003,0.096483,,
3.0211,0.096383,,
3.0228,0.096025,,
3.0246,0.095718,,
3.0263,0.095606,,
3.0281,0.095448,,
3.0299,0.095986,,
3.0317,0.096312,,
3.0334,0.095767,,
3.0351999999999997,0.095927,,
3.037,0.095597,,
3.0388,0.095286,,
3.0405,0.095029,,
3.0423,0.09521,,
3.0441,0.095299,,
3.0459,0.095363,,
3.0477,0.095388,,
3.0495,0.095101,,
3.0513000000000003,0.095423,,
3.0530999999999997,0.095601,,
3.0549,0.094784,,
3.0566999999999998,0.094639,,
3.0585,0.094952,,
3.0603000000000002,0.095391,,
3.0621,0.095572,,
3.0639000000000003,0.094875,,
3.0656999999999996,0.094526,,
3.0675,0.094799,,
3.0694,0.094828,,
3.0711999999999997,0.095361,,
3.073,0.095539,,
3.0748,0.09505,,
3.0766,0.094641,,
3.0785,0.094573,,
3.0803000000000003,0.09436,,
3.0821,0.094035,,
3.084,0.094267,,
3.0858000000000003,0.094903,,
3.0876,0.095393,,
3.0895,0.094805,,
3.0913000000000004,0.094373,,
3.0932,0.094313,,
3.095,0.094324,,
3.0969,0.094454,,
3.0987,0.094613,,
3.1006,0.094903,,
3.1024000000000003,0.094771,,
3.1043000000000003,0.09436,,
3.1061,0.09396,,
3.108,0.094235,,
3.1099,0.094707,,
3.1117,0.094539,,
3.1136,0.094096,,
3.1155,0.094286,,
3.1173,0.094409,,
3.1191999999999998,0.094015,,
3.1210999999999998,0.093658,,
3.123,0.094232,,
3.1249000000000002,0.094454,,
3.1267,0.094232,,
3.1286,0.094284,,
3.1305,0.094343,,
3.1324,0.094113,,
3.1343,0.094475,,
3.1361999999999997,0.094505,,
3.1381,0.094183,,
3.14,0.09422,,
3.1419,0.094079,,
3.1438,0.094086,,
3.1456999999999997,0.094211,,
3.1475999999999997,0.094066,,
3.1495,0.093817,,
3.1514,0.094115,,
3.1534,0.094828,,
3.1553,0.094705,,
3.1572,0.094415,,
3.1591,0.094522,,
3.1611,0.094475,,
3.163,0.094071,,
3.1649000000000003,0.0939,,
3.1669,0.094407,,
3.1688,0.094882,,
3.1706999999999996,0.09455,,
3.1727,0.09436,,
3.1746,0.094179,,
3.1766,0.094439,,
3.1785,0.094548,,
3.1805,0.094696,,
3.1824,0.094684,,
3.1844,0.09432,,
3.1863,0.093894,,
3.1883000000000004,0.094132,,
3.1902,0.09485,,
3.1921999999999997,0.095195,,
3.1942,0.094573,,
3.1961,0.094375,,
3.1980999999999997,0.094669,,
3.2001,0.094892,,
3.2020999999999997,0.094726,,
3.204,0.094662,,
3.206,0.094918,,
3.208,0.095227,,
3.21,0.095252,,
3.212,0.095127,,
3.214,0.095107,,
3.216,0.095246,,
3.218,0.095316,,
3.22,0.095122,,
3.222,0.095124,,
3.224,0.095248,,
3.226,0.095169,,
3.228,0.09498,,
3.23,0.094835,,
3.232,0.095103,,
3.234,0.095067,,
3.236,0.094977,,
3.2380999999999998,0.095433,,
3.2401,0.095518,,
3.2420999999999998,0.095027,,
3.2441,0.095286,,
3.2462,0.095631,,
3.2481999999999998,0.095561,,
3.2502,0.095356,,
3.2523,0.095269,,
3.2543,0.095452,,
3.2564,0.095324,,
3.2584,0.095061,,
3.2605,0.095061,,
3.2625,0.095082,,
3.2645999999999997,0.095344,,
3.2666,0.095122,,
3.2687,0.094939,,
3.2706999999999997,0.094554,,
3.2728,0.094492,,
3.2749,0.094788,,
3.277,0.094984,,
3.279,0.095043,,
3.2811,0.09502,,
3.2832,0.095126,,
3.2853000000000003,0.094941,,
3.2873,0.094805,,
3.2894,0.09499,,
3.2915,0.095316,,
3.2936,0.095452,,
3.2956999999999996,0.095408,,
3.2978,0.095282,,
3.2999,0.095199,,
3.302,0.095218,,
3.3041,0.095316,,
3.3062,0.095559,,
3.3083,0.095312,,
3.3104,0.094931,,
3.3125,0.095067,,
3.3146999999999998,0.095175,,
3.3168,0.095188,,
