Wavelength (µm),split 92 <125 µm,Wavelength (µm) target,split 92 <125 µm target
2.5408000000000004,0.35141,,
2.5410999999999997,0.35158,,
2.5414,0.35159,,
2.5416999999999996,0.35183,,
2.542,0.35193,,
2.5423,0.35196,,
2.5425999999999997,0.352,,
2.543,0.35206,,
2.5433000000000003,0.35206,,
2.5436,0.35185,,
2.5439000000000003,0.35181,,
2.5442,0.35207,,
2.5445,0.35206,,
2.5448000000000004,0.35228,,
2.5450999999999997,0.35237,,
2.5455,0.35222,,
2.5458000000000003,0.35217,,
2.5461,0.35235,,
2.5464,0.35248,,
2.5467,0.35243,,
2.547,0.35239,,
2.5473000000000003,0.35245,,
2.5476,0.35243,,
2.548,0.35252,,
2.5483000000000002,0.35305,,
2.5486,0.35315,,
2.5489,0.35277,,
2.5492,0.35263,,
2.5495,0.35279,,
2.5498000000000003,0.35312,,
2.5501,0.35322,,
2.5505,0.35325,,
2.5508,0.35317,,
2.5511,0.35308,,
2.5514,0.35297,,
2.5517,0.35299,,
2.552,0.35333,,
2.5523000000000002,0.35361,,
2.5526999999999997,0.35373,,
2.553,0.35386,,
2.5533,0.35378,,
2.5536,0.35362,,
2.5539,0.35349,,
2.5542,0.35359,,
2.5545,0.35375,,
2.5549,0.3537,,
2.5551999999999997,0.35362,,
2.5555,0.35398,,
2.5558,0.35424,,
2.5561,0.35412,,
