Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388A <125 ¬µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388A <125 ¬µm cubic spline of bin avg
1.0074,0.083113,,,,
1.0078,0.083089,,,,
1.0082,0.083126,,,,
1.0086,0.08323,,,,
1.009,0.083353,,,,
1.0094,0.083462,,,,
1.0098,0.083529,,,,
1.0102,0.083499,,,,
1.0106,0.083418,,,,
1.0109,0.083305,,,,
1.0113,0.083229,,,,
1.0117,0.083209,,,,
1.0121,0.083186,,,,
1.0125,0.083144,,,,
1.0129,0.083049,,,,
1.0133,0.082954,,,,
1.0137,0.082882,,,,
1.0141,0.08279,,,,
1.0145,0.082771,,,,
1.0149,0.08278,,,,
1.0153,0.082792,,,,
1.0157,0.082835,,,,
1.0161,0.082815,,,,
1.0165,0.082721,,,,
1.0169,0.082635,,,,
1.0173,0.082635,,,,
1.0177,0.082668,,,,
1.0181,0.082712,,,,
1.0185,0.082733,,,,
1.0189,0.082716,,,,
1.0193,0.082723,,,,
