Wavelength (µm) raw,Vogelsberg basalt JB460 125-250 µm raw,Wavelength (µm) bin avg,Vogelsberg basalt JB460 125-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Vogelsberg basalt JB460 125-250 µm cubic spline of bin avg
1.3426,0.07507,,,,
1.3429,0.07508,,,,
1.3433,0.07511,,,,
1.3437,0.0752,,,,
1.344,0.07517,,,,
1.3443,0.07511,,,,
1.3447,0.07522,,,,
1.345,0.0753,,,,
1.3454,0.07518,,,,
1.3457,0.0753,,,,
1.3461,0.07537,,,,
1.3464,0.07533,,,,
1.3468,0.07544,,,,
1.3471,0.07539,,,,
1.3475,0.0754,,,,
1.3478,0.07533,,,,
1.3482,0.07531,,,,
1.3485,0.07535,,,,
1.3489,0.07539,,,,
1.3493,0.07548,,,,
1.3496,0.0755,,,,
1.3499,0.07557,,,,
1.3503,0.07563,,,,
1.3507,0.07561,,,,
1.351,0.07557,,,,
1.3513,0.07565,,,,
1.3517,0.07563,,,,
1.3521,0.07562,,,,
1.3524,0.07561,,,,
1.3528,0.07561,,,,
1.3531,0.0756,,,,
1.3535,0.07555,,,,
1.3538,0.07558,,,,
1.3542,0.07567,,,,
1.3545,0.07587,,,,
1.3549,0.07584,,,,
1.3552,0.07566,,,,
1.3556,0.07557,,,,
1.3559,0.0756,,,,
1.3563,0.07575,,,,
1.3567,0.07566,,,,
1.357,0.07568,,,,
1.3574,0.07569,,,,
1.3577,0.07561,,,,
1.3581,0.07573,,,,
1.3584,0.07593,,,,
1.3588,0.07589,,,,
1.3592,0.07558,,,,
1.3595,0.07559,,,,
1.3599,0.07574,,,,
1.3602,0.07587,,,,
1.3606,0.07589,,,,
1.3609,0.07597,,,,
1.3613,0.07615,,,,
1.3617,0.07605,,,,
1.362,0.07599,,,,
1.3624,0.07596,,,,
1.3627,0.07593,,,,
1.3631,0.07592,,,,
1.3634,0.07605,,,,
1.3638,0.07614,,,,
1.3642,0.07608,,,,
1.3645,0.07597,,,,
1.3649,0.07595,,,,
1.3652,0.07596,,,,
1.3656,0.07611,,,,
1.3659,0.0762,,,,
1.3663,0.07626,,,,
1.3667,0.07635,,,,
1.367,0.07626,,,,
1.3674,0.07616,,,,
1.3678,0.07619,,,,
1.3681,0.07612,,,,
1.3685,0.07614,,,,
1.3688,0.07625,,,,
1.3692,0.07605,,,,
1.3696,0.07613,,,,
1.3699,0.07633,,,,
1.3703,0.07619,,,,
1.3707,0.07617,,,,
1.371,0.0764,,,,
1.3714,0.07643,,,,
1.3717,0.0764,,,,
1.3721,0.07643,,,,
1.3725,0.07644,,,,
1.3728,0.07635,,,,
1.3732,0.07629,,,,
1.3736,0.0763,,,,
1.3739,0.07629,,,,
1.3743,0.07634,,,,
1.3746,0.0765,,,,
1.375,0.07667,,,,
1.3754,0.07664,,,,
1.3757,0.07659,,,,
1.3761,0.07646,,,,
1.3765,0.07644,,,,
1.3768,0.07656,,,,
1.3772,0.07653,,,,
1.3776,0.0767,,,,
1.3779,0.0769,,,,
1.3783,0.07696,,,,
1.3787,0.07683,,,,
1.379,0.0767,,,,
1.3794,0.07672,,,,
1.3798,0.07662,,,,
1.3801,0.07657,,,,
1.3805,0.07674,,,,
1.3809,0.07684,,,,
1.3812,0.07679,,,,
1.3816,0.07685,,,,
1.382,0.07686,,,,
1.3823,0.07693,,,,
1.3827,0.07691,,,,
1.3831,0.07687,,,,
1.3834,0.07689,,,,
1.3838,0.07695,,,,
1.3842,0.07694,,,,
1.3846,0.07689,,,,
1.3849,0.07694,,,,
1.3853,0.07704,,,,
1.3857,0.07706,,,,
1.386,0.07705,,,,
1.3864,0.077,,,,
1.3868,0.07701,,,,
1.3872,0.07704,,,,
1.3875,0.07701,,,,
1.3879,0.07716,,,,
1.3883,0.07721,,,,
1.3886,0.07713,,,,
1.389,0.07709,,,,
1.3894,0.07703,,,,
1.3898,0.077,,,,
1.3901,0.07709,,,,
1.3905,0.07722,,,,
1.3909,0.07721,,,,
1.3912,0.07718,,,,
1.3916,0.07706,,,,
1.392,0.0771,,,,
1.3924,0.07724,,,,
1.3927,0.07732,,,,
1.3931,0.07722,,,,
1.3935,0.07712,,,,
1.3939,0.07719,,,,
1.3942,0.07731,,,,
1.3946,0.07732,,,,
1.395,0.07731,,,,
1.3954,0.07727,,,,
1.3957,0.07732,,,,
1.3961,0.07735,,,,
1.3965,0.07719,,,,
1.3969,0.07722,,,,
1.3972,0.07724,,,,
1.3976,0.07719,,,,
1.398,0.07728,,,,
1.3984,0.07724,,,,
1.3988,0.07729,,,,
1.3991,0.07735,,,,
1.3995,0.07729,,,,
1.3999,0.07734,,,,
1.4003,0.07749,,,,
1.4006,0.07754,,,,
1.401,0.07736,,,,
1.4014,0.07728,,,,
1.4018,0.07738,,,,
1.4022,0.07734,,,,
1.4025,0.07727,,,,
1.4029,0.07726,,,,
1.4033,0.07726,,,,
1.4037,0.07733,,,,
1.4041,0.07751,,,,
1.4044,0.07769,,,,
