Wavelength (µm) raw,Icelandic tephra JB501C  45-125 µm raw,Wavelength (µm) bin avg,Icelandic tephra JB501C  45-125 µm bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic tephra JB501C  45-125 µm cubic spline of bin avg
1.6217,0.13328,,,,
1.6237,0.13339,,,,
1.6257,0.13334,,,,
1.6278,0.13304,,,,
1.6298,0.13283,,,,
1.6319,0.13298,,,,
1.6339,0.13314,,,,
1.636,0.1333,,,,
1.6381,0.13342,,,,
1.6401,0.13329,,,,
1.6422,0.13326,,,,
1.6443,0.13337,,,,
1.6464,0.13323,,,,
1.6485,0.13318,,,,
1.6506,0.13325,,,,
1.6527,0.13313,,,,
1.6548,0.13314,,,,
1.6569,0.13312,,,,
1.659,0.13313,,,,
1.6612,0.13326,,,,
1.6633,0.13327,,,,
1.6654,0.1332,,,,
1.6676,0.13311,,,,
1.6697,0.1332,,,,
1.6719,0.13312,,,,
1.6741,0.13312,,,,
1.6762,0.13327,,,,
1.6784,0.13316,,,,
1.6806,0.13298,,,,
1.6827,0.13308,,,,
1.6849,0.13321,,,,
1.6871,0.13321,,,,
1.6893,0.13298,,,,
1.6915,0.133,,,,
1.6937,0.13324,,,,
1.696,0.13318,,,,
1.6982,0.13305,,,,
1.7004,0.13308,,,,
1.7027,0.13307,,,,
1.7049,0.13299,,,,
1.7071,0.133,,,,
1.7094,0.13304,,,,
1.7116,0.13301,,,,
1.7139,0.13285,,,,
1.7162,0.13268,,,,
1.7185,0.13272,,,,
1.7207,0.13277,,,,
1.723,0.1327,,,,
1.7253,0.13274,,,,
1.7276,0.13272,,,,
1.7299,0.13268,,,,
1.7322,0.13263,,,,
1.7346,0.13257,,,,
1.7369,0.13248,,,,
1.7392,0.1326,,,,
1.7416,0.13259,,,,
1.7439,0.13245,,,,
1.7462,0.13234,,,,
1.7486,0.13229,,,,
1.751,0.13239,,,,
1.7533,0.13239,,,,
1.7557,0.13232,,,,
1.7581,0.1324,,,,
1.7605,0.1324,,,,
1.7629,0.13236,,,,
1.7653,0.13231,,,,
1.7677,0.13228,,,,
1.7701,0.13231,,,,
1.7725,0.13224,,,,
1.775,0.1323,,,,
1.7774,0.13236,,,,
1.7798,0.13228,,,,
1.7823,0.13219,,,,
1.7847,0.13216,,,,
1.7872,0.13208,,,,
1.7897,0.13217,,,,
1.7921,0.13221,,,,
1.7946,0.13221,,,,
1.7971,0.1323,,,,
1.7996,0.13219,,,,
1.8021,0.13211,,,,
1.8046,0.13219,,,,
1.8071,0.13229,,,,
1.8097,0.13216,,,,
1.8122,0.13201,,,,
1.8147,0.13213,,,,
1.8173,0.13217,,,,
1.8198,0.13222,,,,
1.8224,0.1323,,,,
1.825,0.13222,,,,
1.8275,0.13205,,,,
1.8301,0.13203,,,,
1.8327,0.13206,,,,
1.8353,0.13229,,,,
1.8379,0.13229,,,,
1.8405,0.13207,,,,
1.8431,0.13209,,,,
1.8458,0.13221,,,,
1.8484,0.13223,,,,
1.851,0.13216,,,,
1.8537,0.13224,,,,
1.8563,0.13231,,,,
1.859,0.13235,,,,
1.8617,0.13247,,,,
1.8643,0.13236,,,,
1.867,0.13218,,,,
1.8697,0.13207,,,,
1.8724,0.13185,,,,
1.8751,0.13175,,,,
1.8779,0.13176,,,,
1.8806,0.13134,,,,
1.8833,0.13085,,,,
1.8861,0.1306,,,,
1.8888,0.13038,,,,
1.8916,0.1302,,,,
1.8943,0.12985,,,,
1.8971,0.12948,,,,
1.8999,0.1291,,,,
1.9027,0.12875,,,,
1.9055,0.1285,,,,
1.9083,0.12842,,,,
1.9111,0.12831,,,,
1.9139,0.12823,,,,
1.9167,0.12821,,,,
1.9196,0.1283,,,,
1.9224,0.1284,,,,
1.9253,0.12858,,,,
1.9282,0.12883,,,,
1.931,0.12881,,,,
1.9339,0.12891,,,,
1.9368,0.12922,,,,
1.9397,0.12954,,,,
1.9426,0.12996,,,,
1.9455,0.13017,,,,
1.9484,0.13023,,,,
1.9514,0.13048,,,,
1.9543,0.13068,,,,
1.9573,0.13092,,,,
1.9602,0.13122,,,,
1.9632,0.13135,,,,
1.9662,0.13148,,,,
