Wavelength (µm) raw,ALH-271 spot f raw,Wavelength (µm) bin avg,ALH-271 spot f bin avg,Wavelength (µm) cubic spline of bin avg,ALH-271 spot f cubic spline of bin avg
2.485,0.13844,,,,
2.49,0.13899,,,,
2.495,0.13944,,,,
2.5,0.14018,,,,
2.502,0.14078,,,,
2.5032,0.1404,,,,
2.5044,0.14041,,,,
2.5056,0.14015,,,,
2.5068,0.13969,,,,
2.508,0.14009,,,,
2.5093,0.14149,,,,
2.5105,0.14207,,,,
2.5117,0.14162,,,,
2.5129,0.14081,,,,
2.5141,0.14188,,,,
2.5153,0.14209,,,,
2.5166,0.14208,,,,
2.5178,0.14234,,,,
2.519,0.14246,,,,
2.5202,0.14153,,,,
2.5215,0.14128,,,,
2.5227,0.14202,,,,
2.5239,0.14233,,,,
2.5252,0.1415,,,,
2.5264,0.14089,,,,
2.5276,0.14096,,,,
2.5288,0.14173,,,,
2.5301,0.1423,,,,
2.5313,0.14273,,,,
2.5326,0.14348,,,,
2.5338,0.14315,,,,
2.535,0.14246,,,,
2.5363,0.14198,,,,
2.5375,0.14279,,,,
2.5388,0.14352,,,,
2.54,0.14195,,,,
2.5412,0.1416,,,,
2.5425,0.14247,,,,
2.5437,0.14269,,,,
2.545,0.14285,,,,
2.5462,0.14345,,,,
2.5475,0.14336,,,,
2.5487,0.14331,,,,
2.55,0.14314,,,,
2.5512,0.14226,,,,
2.5525,0.14153,,,,
2.5538,0.14162,,,,
2.555,0.14234,,,,
2.5563,0.14252,,,,
2.5575,0.14258,,,,
2.5588,0.14313,,,,
2.5601,0.14287,,,,
2.5613,0.14193,,,,
2.5626,0.14355,,,,
2.5639,0.14485,,,,
2.5651,0.14434,,,,
2.5664,0.14447,,,,
2.5677,0.14408,,,,
2.5689,0.14313,,,,
2.5702,0.14276,,,,
2.5715,0.14398,,,,
2.5728,0.14525,,,,
2.574,0.14393,,,,
2.5753,0.14391,,,,
2.5766,0.14414,,,,
2.5779,0.14325,,,,
2.5792,0.14392,,,,
2.5805,0.14453,,,,
2.5817,0.14307,,,,
2.583,0.14258,,,,
2.5843,0.14284,,,,
2.5856,0.14407,,,,
2.5869,0.14545,,,,
2.5882,0.14474,,,,
2.5895,0.14419,,,,
2.5908,0.1439,,,,
2.5921,0.14389,,,,
2.5934,0.14431,,,,
2.5947,0.14378,,,,
2.596,0.1445,,,,
2.5973,0.14874,,,,
2.5986,0.14885,,,,
2.5999,0.14612,,,,
2.6012,0.14445,,,,
2.6025,0.14415,,,,
2.6038,0.14401,,,,
2.6051,0.14393,,,,
2.6064,0.14429,,,,
2.6077,0.14586,,,,
2.609,0.1455,,,,
2.6103,0.14472,,,,
2.6117,0.14522,,,,
2.613,0.14596,,,,
2.6143,0.14562,,,,
2.6156,0.14518,,,,
2.6169,0.14446,,,,
2.6182,0.14456,,,,
2.6196,0.14582,,,,
2.6209,0.14461,,,,
2.6222,0.14481,,,,
2.6235,0.14685,,,,
2.6249,0.14585,,,,
2.6262,0.14518,,,,
