Wavelength (nm),Icelandic tephra JB501C  45-125 µm
3250.2,0.0524
3252.3,0.05237
3254.3,0.05247
3256.4,0.05291
3258.4,0.05317
3260.5,0.05322
3262.5,0.05329
3264.6,0.0535
3266.6,0.05378
3268.7,0.05399
3270.7,0.05447
3272.8,0.05484
3274.9,0.05484
3277,0.05495
3279,0.05501
3281.1,0.05494
3283.2,0.05508
3285.3,0.05543
3287.3,0.05577
3289.4,0.05579
3291.5,0.05571
3293.6,0.05604
3295.7,0.05641
3297.8,0.0565
3299.9,0.0566
3302,0.05696
3304.1,0.05737
3306.2,0.05763
3308.3,0.05768
3310.4,0.05777
3312.5,0.05817
3314.7,0.0585
3316.8,0.05851
3318.9,0.05875
3321,0.05891
3323.2,0.05917
3325.3,0.05952
3327.4,0.05953
3329.6,0.05967
3331.7,0.0601
3333.8,0.0602
3336,0.0602
3338.1,0.06045
3340.3,0.06075
3342.4,0.06098
3344.6,0.06101
3346.8,0.06105
3348.9,0.06136
3351.1,0.06177
3353.3,0.062
3355.4,0.06233
3357.6,0.06236
3359.8,0.06233
3362,0.06261
3364.1,0.06279
3366.3,0.06294
3368.5,0.06321
3370.7,0.0637
3372.9,0.06408
3375.1,0.06416
3377.3,0.06418
3379.5,0.06453
3381.7,0.06494
3383.9,0.06512
3386.1,0.06525
3388.3,0.06557
3390.5,0.06574
3392.8,0.06592
3395,0.06635
3397.2,0.06666
3399.4,0.06667
3401.7,0.067
3403.9,0.06738
3406.1,0.06745
3408.4,0.06755
3410.6,0.068
3412.9,0.0683
3415.1,0.06845
3417.4,0.0685
3419.6,0.0687
3421.9,0.06899
3424.1,0.06945
3426.4,0.06985
3428.7,0.07018
3430.9,0.0702
3433.2,0.07051
3435.5,0.07077
3437.8,0.07075
3440,0.0711
3442.3,0.0714
3444.6,0.07168
3446.9,0.07191
3449.2,0.0722
3451.5,0.07247
3453.8,0.07273
3456.1,0.07304
3458.4,0.07304
3460.7,0.07301
3463,0.07345
3465.3,0.07384
3467.6,0.07412
3470,0.07448
3472.3,0.07478
3474.6,0.07481
3477,0.07489
3479.3,0.07491
3481.6,0.07533
3484,0.07578
3486.3,0.07601
3488.7,0.07622
3491,0.07659
3493.4,0.07709
3495.7,0.07747
3498.1,0.07779
3500.4,0.07805
3502.8,0.0783
3505.2,0.07873
3507.5,0.07903
3509.9,0.07926
3512.3,0.07958
3514.7,0.07976
3517.1,0.07985
3519.4,0.08014
3521.8,0.08057
3524.2,0.08075
3526.6,0.08096
3529,0.08131
3531.4,0.0814
3533.8,0.08175
3536.2,0.08231
3538.7,0.0825
3541.1,0.0826
3543.5,0.0828
3545.9,0.0831
3548.3,0.08355
3550.8,0.08391
3553.2,0.08425
3555.6,0.08462
3558.1,0.08461
3560.5,0.08473
3563,0.08515
3565.4,0.08558
3567.9,0.08599
3570.3,0.08641
3572.8,0.08661
3575.3,0.08679
3577.7,0.08714
3580.2,0.08745
3582.7,0.08777
3585.2,0.08807
3587.6,0.08826
3590.1,0.08847
3592.6,0.08875
3595.1,0.08909
3597.6,0.0894
3600.1,0.0898
3602.6,0.09013
3605.1,0.09018
3607.6,0.09047
3610.1,0.09085
3612.6,0.09101
3615.2,0.09113
3617.7,0.09154
3620.2,0.09191
3622.7,0.0922
3625.3,0.09246
3627.8,0.09281
3630.3,0.09317
3632.9,0.09341
3635.4,0.09359
3638,0.09381
3640.5,0.09401
3643.1,0.09427
3645.7,0.09468
3648.2,0.09512
3650.8,0.0953
3653.4,0.09557
3655.9,0.09611
3658.5,0.09637
3661.1,0.09654
3663.7,0.09674
3666.3,0.09711
3668.9,0.09747
3671.5,0.09778
3674.1,0.09813
3676.7,0.09861
3679.3,0.09887
3681.9,0.099
3684.5,0.09928
3687.2,0.09961
3689.8,0.09984
3692.4,0.10017
3695,0.10072
3697.7,0.10082
3700.3,0.10094
3703,0.10137
3705.6,0.10169
3708.3,0.10193
3710.9,0.10234
3713.6,0.10268
3716.2,0.10302
3718.9,0.10308
3721.6,0.10309
3724.2,0.10336
3726.9,0.10369
3729.6,0.10415
3732.3,0.10466
3735,0.10516
3737.7,0.10516
3740.4,0.10538
3743.1,0.10578
3745.8,0.10601
3748.5,0.10616
3751.2,0.10644
3753.9,0.10666
3756.6,0.10691
3759.3,0.1072
3762.1,0.10747
3764.8,0.10768
3767.5,0.10801
3770.3,0.10811
3773,0.10825
3775.8,0.10879
3778.5,0.10919
3781.3,0.10932
3784,0.10934
3786.8,0.10974
3789.6,0.11004
3792.3,0.11008
3795.1,0.11019
3797.9,0.11038
3800.7,0.11063
3803.5,0.11106
3806.3,0.11155
