Wavelength (nm),Icelandic pillow lava JB602F
1938.4,0.12339
1939.2,0.12336
1939.9,0.12331
1940.6,0.12332
1941.3,0.12334
1942.1,0.12333
1942.8,0.12327
1943.5,0.12324
1944.2,0.12324
1945,0.1232
1945.7,0.12317
1946.4,0.12317
1947.2,0.12314
1947.9,0.12312
1948.6,0.12313
1949.4,0.1231
1950.1,0.12305
1950.8,0.12305
1951.6,0.12303
1952.3,0.12301
1953,0.12299
1953.8,0.12299
1954.5,0.12292
1955.2,0.12285
1956,0.12282
1956.7,0.1228
1957.5,0.12279
1958.2,0.12278
1958.9,0.1228
1959.7,0.12276
1960.4,0.12265
1961.2,0.12265
1961.9,0.12263
1962.6,0.1226
1963.4,0.12261
1964.1,0.12259
1964.9,0.12262
1965.6,0.12262
1966.4,0.12256
1967.1,0.12252
1967.9,0.12245
1968.6,0.12238
1969.3,0.12237
1970.1,0.12236
1970.8,0.12236
1971.6,0.12231
1972.3,0.12225
1973.1,0.12229
1973.8,0.12227
1974.6,0.12224
1975.3,0.12222
1976.1,0.12219
1976.9,0.12214
1977.6,0.12211
1978.4,0.12211
1979.1,0.12207
1979.9,0.12204
1980.6,0.12204
1981.4,0.12203
1982.2,0.122
1982.9,0.122
1983.7,0.12197
1984.4,0.12191
1985.2,0.12189
1985.9,0.12188
1986.7,0.12189
1987.5,0.12188
1988.2,0.12184
1989,0.12181
1989.8,0.12181
1990.5,0.12179
1991.3,0.12177
1992.1,0.1217
1992.8,0.12163
1993.6,0.12162
1994.3,0.12164
1995.1,0.12162
1995.9,0.12157
1996.7,0.12149
1997.4,0.12146
1998.2,0.12144
1999,0.12139
1999.7,0.12142
2000.5,0.12147
2001.3,0.12144
2002.1,0.12138
2002.8,0.12128
2003.6,0.12125
2004.4,0.12126
2005.2,0.12125
2005.9,0.12124
2006.7,0.12117
2007.5,0.12111
2008.3,0.12118
2009,0.12119
