Wavelength (µm),Augite ws592 spliced
2.61694,0.413653
2.61826,0.41523
2.61958,0.414561
2.62091,0.416042
2.62223,0.418049
2.62356,0.418432
2.62489,0.417667
2.62622,0.416186
2.62755,0.417237
2.62888,0.416377
2.63022,0.415039
2.63155,0.41738
2.63289,0.418193
2.63422,0.41848
2.63556,0.419435
2.6369,0.41977
2.63825,0.41977
2.63959,0.419579
2.64093,0.419387
2.64228,0.419149
2.64363,0.419149
2.64498,0.418671
2.64633,0.418862
2.64768,0.419387
2.64903,0.419483
2.65039,0.418766
2.65174,0.417476
2.6531,0.417428
2.65446,0.417476
2.65582,0.417428
2.65718,0.417667
2.65854,0.416329
2.6599,0.415421
2.66127,0.415421
2.66264,0.415087
2.664,0.412172
2.66538,0.409925
2.66674,0.409639
2.66812,0.40983
2.66949,0.406341
2.67087,0.405625
2.67224,0.40744
2.67362,0.406102
2.675,0.402662
2.67638,0.398886
2.67776,0.39621
2.67915,0.393056
2.68053,0.390141
2.68192,0.385267
2.68331,0.379007
2.6847,0.372077
2.68609,0.363953
2.68748,0.355304
2.68888,0.346367
2.69027,0.33638
2.69167,0.325293
2.69307,0.312916
2.69447,0.301399
2.69587,0.289978
2.69727,0.276979
2.69867,0.263455
2.70008,0.252655
2.70149,0.244722
2.7029,0.23722
2.70431,0.228092
2.70572,0.218535
2.70713,0.209455
2.70854,0.201856
2.70996,0.19703
2.71138,0.19574
2.7128,0.195883
2.71422,0.195787
2.71564,0.195596
2.71706,0.194736
2.71849,0.19335
2.71991,0.191678
2.72134,0.191439
2.72277,0.190817
2.7242,0.189718
2.72563,0.189623
2.72707,0.189145
2.7285,0.188046
2.72994,0.186755
2.73138,0.185179
2.73282,0.183506
2.73426,0.18169
2.7357,0.180495
2.73715,0.179109
2.73859,0.176959
2.74004,0.175334
2.74149,0.174761
2.74294,0.174235
2.74439,0.173231
2.74584,0.172324
2.7473,0.171511
2.74876,0.170794
2.75021,0.170077
2.75167,0.169695
2.75314,0.168978
2.7546,0.16807
2.75606,0.168453
2.75753,0.169074
2.759,0.16917
2.76046,0.168883
2.76194,0.168453
2.76341,0.168835
2.76488,0.169456
2.76636,0.1696
2.76783,0.169934
2.76931,0.170125
2.77079,0.170173
2.77228,0.170747
2.77376,0.171368
2.77524,0.171846
2.77673,0.172037
2.77822,0.172132
2.77971,0.172132
