Wavelength (nm),split 92 <125 µm
2690.1,0.35366
2690.4,0.35343
2690.8,0.35334
2691.1,0.35315
2691.5,0.35288
2691.8,0.35255
2692.2,0.35234
2692.5,0.35196
2692.9,0.35171
2693.2,0.35159
2693.6,0.35164
2693.9,0.35149
2694.3,0.35111
2694.6,0.35061
2695.0,0.35018
2695.3,0.35012
2695.7,0.35002
2696.0,0.34982
2696.4,0.34932
2696.7,0.3487
2697.1,0.3482
2697.4,0.34814
2697.8,0.34812
2698.1,0.34787
2698.5,0.34761
2698.8,0.34709
2699.2,0.3467
2699.5,0.34636
2699.9,0.34633
2700.2,0.34614
2700.6,0.34531
2700.9,0.34499
2701.3,0.34517
2701.6,0.34475
2702.0,0.34443
2702.3,0.34416
2702.7,0.34361
2703.0,0.34327
2703.4,0.34295
2703.7,0.34244
2704.1,0.34173
2704.4,0.34138
2704.8,0.3412
2705.1,0.3409
2705.5,0.34036
2705.8,0.33986
2706.2,0.33935
2706.6,0.33887
2706.9,0.33844
2707.3,0.33794
2707.6,0.33757
2708.0,0.33707
2708.3,0.33659
