Wavelength (µm)	Pigeonite hs199 spliced
3.610135	0.204501
3.612650	0.204501
3.615170	0.204501
3.617692	0.204614
3.620219	0.204614
3.622749	0.204671
3.625283	0.204783
3.627819	0.204896
3.630360	0.204896
3.632904	0.204896
3.635452	0.204953
3.638003	0.205066
3.640558	0.205179
3.643116	0.205122
3.645679	0.205235
3.648244	0.205291
3.650813	0.205291
3.653386	0.205291
3.655962	0.205348
3.658543	0.205348
3.661126	0.205348
3.663713	0.205517
3.666304	0.205574
3.668898	0.205461
3.671497	0.205517
3.674099	0.205461
3.676705	0.205517
3.679314	0.205461
3.681927	0.205517
3.684544	0.205517
3.687165	0.205574
3.689789	0.205574
3.692417	0.205574
3.695049	0.205574
3.697685	0.205630
3.700324	0.205630
3.702967	0.205687
3.705615	0.205743
3.708265	0.205743
3.710920	0.205799
3.713578	0.205856
3.716240	0.205799
3.718906	0.205743
3.721576	0.205799
3.724249	0.205799
3.726926	0.205799
3.729607	0.205912
3.732292	0.206025
3.734981	0.206195
3.737674	0.206195
3.740371	0.206082
3.743071	0.206025
3.745776	0.206195
3.748485	0.206251
3.751197	0.206251
3.753913	0.206308
3.756634	0.206364
3.759358	0.206251
3.762086	0.206251
3.764818	0.206420
3.767554	0.206477
3.770293	0.206477
3.773037	0.206533
3.775785	0.206420
3.778537	0.206364
3.781293	0.206477
3.784053	0.206477
3.786817	0.206420
3.789586	0.206533
3.792358	0.206590
3.795134	0.206477
3.797915	0.206533
3.800699	0.206533
3.803488	0.206420
3.806280	0.206420
3.809077	0.206533
3.811877	0.206590
3.814683	0.206590
3.817492	0.206533
3.820305	0.206364
3.823123	0.206308
3.825944	0.206308
3.828770	0.206308
3.831600	0.206195
3.834434	0.206195
3.837271	0.206195
3.840113	0.206138
3.842960	0.206082
3.845811	0.206251
3.848666	0.206195
3.851525	0.206025
3.854389	0.205912
3.857257	0.205856
3.860130	0.205799
3.863006	0.205856
3.865887	0.205799
3.868772	0.205743
3.871661	0.205687
3.874554	0.205743
3.877452	0.205743
3.880355	0.205743
3.883262	0.205630
