Wavelength (nm),"ALH-271, spot f"
3716.2,0.096529
3718.9,0.09654
3721.6,0.096595
3724.2,0.096647
3726.9,0.096572
3729.6,0.096574
3732.3,0.096802
3735.0,0.096766
3737.7,0.096532
3740.4,0.096421
3743.1,0.096548
3745.8,0.096276
3748.5,0.09621
3751.2,0.096299
3753.9,0.096174
3756.6,0.096274
3759.3,0.096312
3762.1,0.096144
3764.8,0.096221
3767.5,0.096568
3770.3,0.096666
3773.0,0.096551
3775.8,0.096395
3778.5,0.096344
3781.3,0.096089
3784.0,0.095863
3786.8,0.096306
3789.6,0.096763
3792.3,0.096874
3795.1,0.096876
3797.9,0.096655
3800.7,0.096325
3803.5,0.096329
3806.3,0.096472
3809.1,0.096397
3811.9,0.096431
3814.7,0.096491
3817.5,0.096719
3820.3,0.097051
3823.1,0.096961
3825.9,0.096638
3828.8,0.096787
3831.6,0.097087
3834.4,0.097151
3837.3,0.096902
3840.1,0.09657
3842.9,0.096399
3845.8,0.09644
3848.7,0.096559
3851.5,0.096819
3854.4,0.097045
3857.2,0.096925
3860.1,0.096895
3863.0,0.096878
3865.9,0.09687
3868.8,0.096744
3871.6,0.096638
3874.5,0.097032
3877.4,0.097093
3880.3,0.097202
3883.2,0.097221
3886.2,0.097251
3889.1,0.097351
3892.0,0.097228
3894.9,0.097113
3897.8,0.097196
3900.8,0.097298
3903.7,0.09706
3906.7,0.096985
3909.6,0.097387
3912.6,0.0976
3915.5,0.097268
3918.5,0.097226
3921.4,0.097253
3924.4,0.097245
3927.4,0.096961
3930.4,0.096838
3933.3,0.096987
3936.3,0.09677
3939.3,0.096693
3942.3,0.096695
3945.3,0.096653
3948.3,0.096766
3951.3,0.096891
3954.3,0.097027
3957.4,0.09684
3960.4,0.09631
3963.4,0.096417
3966.4,0.096574
3969.5,0.096372
3972.5,0.096431
3975.6,0.096566
3978.6,0.096542
3981.7,0.096297
3984.7,0.096097
3987.8,0.096095
3990.9,0.096368
3993.9,0.096451
3997.0,0.096287
