Wavelength (µm)	Augite ws592 spliced
2.205085	0.403522
2.206023	0.403235
2.206962	0.403092
2.207902	0.402805
2.208843	0.402232
2.209784	0.401993
2.210727	0.401849
2.211670	0.401563
2.212614	0.401276
2.213559	0.401180
2.214504	0.400702
2.215451	0.400416
2.216398	0.400511
2.217346	0.400272
2.218295	0.399794
2.219244	0.399508
2.220195	0.399173
2.221146	0.398647
2.222098	0.398552
2.223051	0.398456
2.224005	0.397931
2.224959	0.397453
2.225914	0.396736
2.226871	0.396832
2.227827	0.396975
2.228785	0.396879
2.229744	0.396736
2.230703	0.396545
2.231663	0.395876
2.232625	0.395398
2.233587	0.394872
2.234549	0.394347
2.235513	0.393916
2.236477	0.393678
2.237442	0.393773
2.238408	0.393534
2.239375	0.393200
2.240343	0.392817
2.241312	0.392674
2.242281	0.392722
2.243252	0.392339
2.244223	0.391670
2.245195	0.391432
2.246168	0.391288
2.247141	0.390954
2.248116	0.390858
2.249091	0.390715
2.250067	0.390380
2.251044	0.390380
2.252022	0.390046
2.253000	0.389950
2.253980	0.389854
2.254961	0.389233
2.255942	0.389042
2.256924	0.388803
2.257907	0.388469
2.258891	0.388325
2.259876	0.387991
2.260861	0.387608
2.261847	0.387465
2.262835	0.387083
2.263823	0.386987
2.264812	0.387178
2.265802	0.386748
2.266792	0.386175
2.267784	0.385745
2.268776	0.385506
2.269770	0.385267
2.270764	0.385171
2.271759	0.385123
2.272755	0.384550
2.273752	0.384072
2.274750	0.383929
2.275748	0.383547
2.276747	0.383642
2.277748	0.383738
2.278749	0.383308
2.279751	0.382973
2.280754	0.382447
2.281758	0.382113
2.282763	0.381683
2.283768	0.381444
2.284775	0.381061
2.285782	0.380966
2.286791	0.380870
2.287800	0.380679
2.288810	0.380536
2.289821	0.380392
2.290832	0.380058
2.291845	0.379867
2.292859	0.379389
2.293873	0.379007
2.294889	0.379007
2.295905	0.378672
2.296922	0.378529
2.297940	0.378720
2.298960	0.378624
2.299979	0.378672
2.301001	0.378099
2.302022	0.377812
2.303045	0.377812
2.304068	0.377621
2.305093	0.377191
2.306118	0.376761
2.307145	0.376617
2.308172	0.376808
2.309201	0.376808
2.310230	0.376856
2.311260	0.376522
2.312290	0.376139
2.313322	0.375900
2.314355	0.375853
2.315388	0.375661
2.316423	0.375853
2.317458	0.375948
2.318495	0.375853
2.319532	0.375566
2.320570	0.375231
2.321609	0.375040
2.322650	0.375279
2.323691	0.375423
2.324733	0.375423
2.325776	0.375661
2.326820	0.375853
2.327865	0.375757
2.328910	0.375566
2.329957	0.375279
2.331005	0.375279
2.332053	0.375184
2.333103	0.375327
2.334153	0.375948
2.335205	0.376044
2.336257	0.375757
2.337310	0.375709
2.338365	0.375614
2.339420	0.375470
2.340476	0.375996
2.341533	0.376187
2.342591	0.375996
2.343650	0.376330
2.344710	0.376187
2.345771	0.376235
2.346833	0.376426
2.347896	0.376474
2.348960	0.376761
2.350024	0.376713
2.351090	0.376474
2.352157	0.376235
2.353225	0.376330
2.354293	0.376904
2.355363	0.376952
2.356434	0.376713
2.357505	0.376665
2.358577	0.376856
2.359651	0.377000
2.360726	0.376665
2.361801	0.377000
2.362878	0.377095
2.363955	0.377095
2.365033	0.377000
2.366114	0.376808
2.367194	0.377143
2.368275	0.377095
2.369358	0.376761
2.370441	0.376808
2.371525	0.376856
2.372611	0.376856
2.373697	0.376713
2.374785	0.376713
2.375873	0.377047
2.376962	0.377000
2.378052	0.377334
2.379144	0.377334
2.380236	0.377047
2.381330	0.377047
2.382424	0.376904
2.383519	0.376713
2.384615	0.376904
2.385713	0.376856
2.386811	0.376522
2.387911	0.376426
2.389011	0.377000
