Wavelength (nm),Sanidine gds19.19863
3778.537,0.698881
3781.293,0.698825
3784.053,0.698713
3786.817,0.698433
3789.586,0.698322
3792.358,0.698098
3795.134,0.698042
3797.915,0.697707
3800.699,0.697539
3803.488,0.697259
3806.28,0.697036
3809.077,0.696756
3811.877,0.696533
3814.683,0.696141
3817.492,0.695918
3820.305,0.695638
3823.123,0.695303
3825.944,0.695023
3828.77,0.694744
3831.6,0.694408
3834.434,0.694129
3837.271,0.693738
3840.113,0.693458
3842.96,0.693123
3845.811,0.692675
3848.666,0.692284
3851.525,0.691781
3854.389,0.691446
3857.257,0.691222
3860.13,0.690943
3863.006,0.690551
3865.887,0.690048
3868.772,0.689713
3871.661,0.689265
3874.554,0.689042
3877.452,0.688818
3880.355,0.688483
3883.262,0.688092
3886.173,0.687868
3889.088,0.687533
3892.008,0.687197
3894.932,0.687029
3897.861,0.686694
3900.793,0.686303
3903.731,0.686079
3906.672,0.685744
3909.618,0.685352
3912.569,0.684961
3915.524,0.684793
3918.483,0.68457
3921.447,0.684346
3924.416,0.684011
3927.389,0.683731
3930.367,0.683452
3933.349,0.683172
3936.336,0.682893
3939.327,0.682725
3942.322,0.682501
3945.323,0.682278
3948.327,0.681998
3951.337,0.681942
3954.351,0.681663
3957.37,0.681272
3960.393,0.681048
3963.421,0.680992
3966.453,0.680824
3969.49,0.680489
3972.532,0.680154
3975.579,0.679986
3978.629,0.679762
3981.685,0.67965
3984.745,0.679483
3987.81,0.679427
3990.88,0.679203
3993.955,0.67898
3997.034,0.678868
