Wavelength (nm),<125 µm (357)
3809.1,0.51151
3811.9,0.511
3814.7,0.51016
3817.5,0.5094
3820.3,0.50875
3823.1,0.50826
3825.9,0.50783
3828.8,0.50725
3831.6,0.50679
3834.4,0.50634
3837.3,0.50582
3840.1,0.50508
3842.9,0.50463
3845.8,0.5044
3848.7,0.50407
3851.5,0.50386
3854.4,0.50355
3857.2,0.50314
3860.1,0.50265
3863.0,0.50234
3865.9,0.50201
3868.8,0.50168
3871.6,0.50138
3874.5,0.50102
3877.4,0.50091
3880.3,0.50058
3883.2,0.50011
3886.2,0.49969
3889.1,0.4993
3892.0,0.499
3894.9,0.49862
3897.8,0.49826
3900.8,0.49789
3903.7,0.49749
3906.7,0.497
3909.6,0.4964
3912.6,0.4962
3915.5,0.49616
3918.5,0.49564
3921.4,0.49506
3924.4,0.49459
3927.4,0.49424
3930.4,0.49374
3933.3,0.49282
3936.3,0.49223
3939.3,0.49173
3942.3,0.49088
3945.3,0.48991
3948.3,0.48881
3951.3,0.4879
3954.3,0.48709
3957.4,0.48589
3960.4,0.48455
3963.4,0.48353
3966.4,0.48277
3969.5,0.48206
3972.5,0.48126
3975.6,0.48041
3978.6,0.47976
3981.7,0.47921
3984.7,0.4786
3987.8,0.47809
3990.9,0.47742
3993.9,0.47706
3997.0,0.47687
