Wavelength (nm),SynOl_Fo10
2527.0,0.34915
2528.3,0.3491
2529.5,0.34906
2530.7,0.34909
2531.9,0.34912
2533.2,0.34914
2534.4,0.34914
2535.7,0.3491
2536.9,0.34906
2538.1,0.34913
2539.4,0.34908
2540.6,0.34907
2541.9,0.34912
2543.1,0.34912
2544.4,0.34904
2545.6,0.34901
2546.9,0.349
2548.1,0.349
2549.4,0.34896
2550.6,0.34895
2551.9,0.34896
2553.1,0.34892
2554.4,0.34877
2555.7,0.34875
2556.9,0.34877
2558.2,0.34878
2559.4,0.34883
2560.7,0.34894
2562.0,0.34894
2563.2,0.34884
2564.5,0.34873
2565.8,0.34866
2567.1,0.34864
2568.3,0.34878
2569.6,0.34886
2570.9,0.34878
2572.1,0.34879
2573.4,0.34885
2574.7,0.34875
2576.0,0.34878
2577.3,0.3488
2578.5,0.34874
2579.8,0.34868
2581.1,0.34869
2582.4,0.34864
2583.7,0.34878
2585.0,0.34868
2586.3,0.34863
2587.5,0.3487
2588.8,0.34864
2590.1,0.34855
2591.4,0.3485
2592.7,0.34858
2594.0,0.34887
2595.3,0.34892
2596.6,0.34862
2597.9,0.34843
2599.2,0.34837
2600.5,0.34838
2601.8,0.34848
2603.1,0.34857
2604.4,0.34867
2605.8,0.34863
2607.1,0.34838
2608.4,0.34835
2609.7,0.34841
2611.0,0.34841
2612.3,0.3484
2613.6,0.34836
2614.9,0.34832
2616.3,0.34846
2617.6,0.34846
2618.9,0.34834
2620.2,0.34841
2621.6,0.34821
2622.9,0.3481
2624.2,0.34819
2625.5,0.34828
2626.9,0.34832
2628.2,0.34821
2629.5,0.34833
2630.9,0.34836
2632.2,0.34809
2633.5,0.34806
2634.9,0.34803
2636.2,0.34801
2637.6,0.34798
2638.9,0.34794
2640.2,0.34795
2641.6,0.34796
2642.9,0.34793
2644.3,0.34791
2645.6,0.34789
2647.0,0.34783
2648.3,0.34779
2649.7,0.34776
2651.0,0.34779
2652.4,0.34781
2653.8,0.34771
2655.1,0.34774
2656.5,0.3477
2657.8,0.3477
2659.2,0.3477
2660.6,0.34762
2661.9,0.34756
2663.3,0.34761
2664.7,0.34779
2666.0,0.3478
2667.4,0.3477
2668.8,0.34761
2670.1,0.34786
2671.5,0.34764
2672.9,0.34726
2674.3,0.34721
2675.7,0.3473
2677.0,0.34731
2678.4,0.34724
2679.8,0.34713
2681.2,0.34694
2682.6,0.34697
2684.0,0.34701
2685.4,0.34699
2686.8,0.34696
2688.1,0.34693
2689.5,0.34695
2690.9,0.34702
2692.3,0.34706
2693.7,0.3471
2695.1,0.34699
2696.5,0.34683
2697.9,0.34676
2699.3,0.34684
