Wavelength (µm),Pigeonite hs199.17856
2.105668,0.177311
2.106524,0.177131
2.10738,0.177131
2.108237,0.177251
2.109094,0.177432
2.109953,0.177613
2.110812,0.177432
2.111672,0.177131
2.112532,0.177071
2.113394,0.177432
2.114255,0.177372
2.115118,0.177372
2.115981,0.177552
2.116845,0.177372
2.11771,0.177492
2.118576,0.177613
2.119442,0.177552
2.120309,0.177432
2.121176,0.177492
2.122045,0.177673
2.122913,0.177793
2.123783,0.177733
2.124654,0.177854
2.125525,0.177914
2.126396,0.177733
2.127269,0.177552
2.128142,0.177613
2.129016,0.177793
2.129891,0.178034
2.130766,0.178215
2.131642,0.178335
2.132519,0.178396
2.133397,0.178155
2.134275,0.177733
2.135154,0.177793
2.136034,0.177793
2.136914,0.177854
2.137795,0.178094
2.138677,0.178034
2.13956,0.177974
2.140444,0.178034
2.141328,0.177974
2.142213,0.178215
2.143099,0.178275
2.143985,0.178034
2.144872,0.177974
2.14576,0.178094
2.146648,0.178215
2.147537,0.178516
2.148427,0.178335
2.149318,0.178275
2.150209,0.178516
2.151101,0.178757
2.151994,0.178697
2.152888,0.178636
2.153783,0.178697
2.154678,0.178757
2.155574,0.178636
2.15647,0.178516
2.157368,0.178757
2.158266,0.178817
2.159165,0.178697
2.160064,0.178877
2.160964,0.179179
2.161865,0.179179
2.162767,0.178938
2.16367,0.178998
2.164573,0.178938
2.165478,0.178877
2.166383,0.178817
2.167288,0.178877
2.168195,0.178877
2.169102,0.179118
2.17001,0.179239
2.170919,0.179239
2.171828,0.179179
2.172739,0.179118
2.17365,0.178938
2.174561,0.178817
2.175474,0.179058
2.176387,0.179299
2.177301,0.179239
2.178216,0.178998
2.179132,0.178877
2.180048,0.178998
2.180965,0.178998
2.181883,0.178938
2.182801,0.178998
2.183721,0.179179
2.184641,0.178998
2.185562,0.178877
2.186484,0.178757
2.187407,0.178697
2.18833,0.178757
2.189254,0.178877
2.190179,0.178998
2.191105,0.179058
2.192032,0.178938
2.192959,0.178877
2.193887,0.178938
2.194816,0.178998
2.195745,0.178998
2.196676,0.178938
2.197607,0.178938
2.198539,0.178938
2.199472,0.178817
2.200405,0.178817
2.201339,0.178938
2.202275,0.179058
2.203211,0.178998
2.204147,0.178998
2.205085,0.178998
2.206023,0.179058
2.206962,0.179239
2.207902,0.179179
2.208843,0.179239
2.209784,0.179239
2.210727,0.179359
2.21167,0.17954
2.212614,0.179419
2.213559,0.179299
2.214504,0.17948
2.215451,0.17966
2.216398,0.17948
2.217346,0.17954
2.218295,0.17966
2.219244,0.179721
2.220195,0.179781
2.221146,0.179841
2.222098,0.179721
2.223051,0.179781
2.224005,0.179841
2.224959,0.180082
2.225914,0.180504
2.226871,0.180443
2.227827,0.180323
2.228785,0.180323
2.229744,0.180323
2.230703,0.180443
2.231663,0.180263
2.232625,0.180202
2.233587,0.180323
2.234549,0.180504
2.235513,0.180564
2.236477,0.180624
2.237442,0.180504
2.238408,0.180504
2.239375,0.180744
2.240343,0.180985
2.241312,0.180805
2.242281,0.180443
2.243252,0.180443
2.244223,0.180624
2.245195,0.180865
2.246168,0.180985
2.247141,0.180925
2.248116,0.180865
2.249091,0.180925
2.250067,0.180985
2.251044,0.180985
2.252022,0.181046
2.253,0.181046
2.25398,0.181046
2.254961,0.180985
2.255942,0.181226
2.256924,0.181226
2.257907,0.181226
2.258891,0.181106
2.259876,0.180925
2.260861,0.181046
2.261847,0.181226
2.262835,0.181527
2.263823,0.181588
2.264812,0.181648
2.265802,0.181768
2.266792,0.181588
2.267784,0.181467
2.268776,0.181648
2.26977,0.181949
2.270764,0.18213
2.271759,0.182069
2.272755,0.18213
2.273752,0.18231
2.27475,0.18225
2.275748,0.18225
2.276747,0.18219
2.277748,0.18213
2.278749,0.18225
2.279751,0.18225
2.280754,0.18219
2.281758,0.18213
2.282763,0.18225
2.283768,0.182371
2.284775,0.182551
2.285782,0.182491
2.286791,0.18231
2.2878,0.18219
2.28881,0.18225
2.289821,0.182672
2.290832,0.182732
2.291845,0.182491
2.292859,0.182431
2.293873,0.182371
2.294889,0.182491
2.295905,0.182491
2.296922,0.182371
2.29794,0.182371
2.29896,0.182431
2.299979,0.182551
2.301001,0.182612
2.302022,0.182491
2.303045,0.182431
2.304068,0.182431
2.305093,0.182551
2.306118,0.182491
2.307145,0.182551
2.308172,0.182431
2.309201,0.182371
2.31023,0.182551
2.31126,0.182551
2.31229,0.182491
2.313322,0.182431
2.314355,0.18231
2.315388,0.182371
2.316423,0.182612
2.317458,0.182612
2.318495,0.182491
2.319532,0.182491
2.32057,0.182612
2.321609,0.182612
2.32265,0.182672
2.323691,0.182491
2.324733,0.182431
2.325776,0.182491
2.32682,0.182612
2.327865,0.182672
2.32891,0.182672
2.329957,0.182732
2.331005,0.182792
2.332053,0.182732
2.333103,0.182792
2.334153,0.182852
2.335205,0.183093
2.336257,0.183274
2.33731,0.183154
2.338365,0.183033
2.33942,0.183274
2.340476,0.183395
2.341533,0.183515
2.342591,0.183515
2.34365,0.183334
2.34471,0.183334
2.345771,0.183617
2.346833,0.184012
2.347896,0.184576
2.34896,0.184858
2.350024,0.184745
2.35109,0.184576
2.352157,0.184802
2.353225,0.184802
2.354293,0.184576
2.355363,0.184576
2.356434,0.184802
2.357505,0.184689
2.358577,0.185141
2.359651,0.185592
2.360726,0.185536
2.361801,0.185705
2.362878,0.186044
2.363955,0.186044
2.365033,0.185931
2.366114,0.185818
2.367194,0.185931
2.368275,0.185931
2.369358,0.186269
2.370441,0.186665
2.371525,0.186721
2.372611,0.186777
2.373697,0.186777
2.374785,0.186834
2.375873,0.187229
2.376962,0.187342
2.378052,0.187342
2.379144,0.187398
2.380236,0.187511
2.38133,0.187455
2.382424,0.187511
2.383519,0.187737
2.384615,0.18785
2.385713,0.188076
2.386811,0.188019
2.387911,0.187906
2.389011,0.188301
2.390113,0.188245
2.391215,0.188414
2.392318,0.18864
2.393423,0.189035
2.394528,0.189205
2.395635,0.189148
2.396743,0.189261
2.397851,0.189317
2.398961,0.189317
2.400071,0.18943
2.401183,0.189543
2.402296,0.189713
2.40341,0.189487
2.404524,0.189487
2.40564,0.189825
2.406757,0.190164
2.407875,0.190221
2.408994,0.190221
2.410113,0.190503
2.411234,0.190729
2.412356,0.190898
2.413479,0.191124
2.414603,0.191237
2.415729,0.191519
2.416855,0.191519
2.417982,0.19135
2.419111,0.19118
2.42024,0.19118
2.421371,0.191462
2.422502,0.191914
2.423635,0.192083
2.424768,0.192196
2.425903,0.192196
2.427038,0.192309
2.428176,0.192366
2.429314,0.192478
2.430453,0.192591
2.431592,0.192704
2.432734,0.192648
2.433876,0.192591
2.435019,0.192704
2.436163,0.193099
2.437308,0.193269
2.438454,0.193325
2.439602,0.193494
2.44075,0.193494
2.4419,0.19372
2.443051,0.194059
2.444203,0.194172
2.445355,0.194172
2.44651,0.194341
2.447665,0.194567
2.448821,0.194567
2.449978,0.194454
2.451137,0.194623
2.452296,0.194906
2.453457,0.194736
2.454618,0.194623
2.455781,0.194793
2.456945,0.195244
2.45811,0.195696
2.459276,0.196034
2.460443,0.195978
2.461612,0.195865
2.462781,0.195978
2.463952,0.196147
2.465123,0.195922
2.466296,0.195978
2.46747,0.196204
2.468645,0.196486
2.469821,0.196373
2.470998,0.196655
2.472176,0.196825
2.473356,0.196938
2.474536,0.197163
2.475718,0.197446
2.476901,0.197615
2.478085,0.197728
2.47927,0.197502
2.480456,0.197671
2.481644,0.197897
2.482832,0.198066
2.484022,0.198349
2.485213,0.198292
2.486404,0.198236
2.487597,0.198349
2.488792,0.198631
2.489987,0.1988
2.491184,0.198857
2.492381,0.199083
2.493581,0.199421
2.494781,0.19976
2.495982,0.199816
2.497184,0.199591
2.498387,0.199534
2.499592,0.199703
2.500798,0.199703
2.502005,0.199986
2.503213,0.200211
2.504422,0.200211
2.505633,0.200211
2.506844,0.200494
2.508057,0.200832
2.509271,0.201002
2.510486,0.201002
2.511703,0.201284
2.51292,0.201397
2.514138,0.201453
2.515358,0.201397
2.516579,0.201453
2.517802,0.20151
2.519025,0.201566
2.52025,0.201792
2.521476,0.201905
2.522703,0.201961
2.523931,0.202243
2.52516,0.202582
2.526391,0.202526
2.527622,0.202356
2.528856,0.202582
2.53009,0.202808
2.531325,0.203034
2.532562,0.203203
2.5338,0.203372
2.535039,0.203598
2.536279,0.20405
2.53752,0.203824
2.538763,0.203655
2.540007,0.203824
2.541252,0.204275
2.542498,0.205066
2.543746,0.205235
2.544994,0.204727
2.546244,0.204896
2.547495,0.205574
2.548748,0.205348
2.550002,0.205461
2.551256,0.206082
2.552513,0.206251
2.553771,0.205912
2.555029,0.205291
2.556289,0.205348
2.55755,0.205461
2.558813,0.206195
2.560076,0.207944
2.561341,0.209243
2.562607,0.209356
2.563875,0.209299
2.565143,0.20817
2.566413,0.206985
2.567684,0.207324
2.568957,0.208904
2.57023,0.208791
2.571505,0.208001
2.572781,0.209751
2.574058,0.209638
2.575337,0.208735
2.576617,0.209581
2.577898,0.20913
2.579181,0.208452
2.580465,0.209525
2.58175,0.210033
2.583036,0.211388
2.584324,0.21167
2.585613,0.210202
2.586903,0.211049
2.588195,0.210992
2.589488,0.210428
2.590782,0.209807
2.592077,0.210259
2.593373,0.214492
2.594671,0.219233
2.595971,0.215395
2.597271,0.211162
2.598573,0.20992
2.599876,0.210315
2.601181,0.211049
2.602487,0.211896
2.603794,0.213194
2.605102,0.215
2.606412,0.214323
2.607723,0.212855
2.609035,0.212573
2.610349,0.211839
2.611664,0.211275
2.612981,0.21167
2.614299,0.211444
2.615618,0.213476
2.616938,0.215282
2.61826,0.213589
2.619583,0.214605
2.620907,0.214774
2.622233,0.212008
2.62356,0.211388
2.624888,0.212347
2.626217,0.214661
2.627548,0.213645
2.628881,0.213984
2.630215,0.216524
2.63155,0.214549
2.632886,0.213137
2.634224,0.213363
2.635564,0.212291
2.636904,0.212008
2.638246,0.211896
2.63959,0.212121
2.640934,0.212291
2.64228,0.212573
2.643628,0.212686
2.644976,0.213589
2.646327,0.21342
2.647678,0.212573
2.649031,0.212121
2.650386,0.212573
2.651741,0.213533
2.653098,0.21325
2.654457,0.212855
2.655817,0.213137
2.657177,0.212065
2.65854,0.212855
2.659904,0.213363
2.66127,0.212912
2.662637,0.212799
2.664005,0.215282
2.665375,0.217709
2.666745,0.217145
2.668118,0.214492
2.669492,0.216468
2.670867,0.216693
2.672244,0.21167
2.673622,0.210372
2.675002,0.211613
2.676383,0.212912
2.677765,0.212291
2.67915,0.211218
2.680535,0.20834
2.681922,0.206816
2.68331,0.206703
2.6847,0.205799
2.68609,0.205122
2.687483,0.204163
2.688877,0.202808
2.690272,0.201453
2.691669,0.201115
2.693067,0.202356
2.694467,0.201961
2.695868,0.199365
2.69727,0.196542
2.698674,0.19451
2.70008,0.193833
2.701487,0.192535
2.702896,0.189825
2.704306,0.187342
2.705717,0.185141
2.70713,0.182883
2.708544,0.181189
2.70996,0.179327
2.711378,0.17498
2.712797,0.168489
2.714217,0.163353
2.715639,0.157539
2.717062,0.150144
2.718487,0.143597
2.719913,0.141508
2.721341,0.138912
2.72277,0.13671
2.7242,0.136259
2.725633,0.133324
2.727067,0.127792
2.728502,0.12147
2.729939,0.116277
2.731377,0.114527
2.732817,0.115431
2.734258,0.116616
2.735701,0.116052
2.737146,0.115035
2.738592,0.115374
2.740039,0.114584
2.741488,0.110633
2.742939,0.10623
2.744391,0.104762
2.745844,0.10544
2.747299,0.105948
2.748756,0.105553
2.750214,0.104932
2.751674,0.10448
2.753135,0.104367
2.754598,0.105214
2.756062,0.10465
2.757528,0.102222
2.758996,0.100981
2.760465,0.101319
2.761936,0.102561
2.763408,0.103069
2.764882,0.102674
2.766357,0.10273
2.767834,0.103013
2.769313,0.103069
2.770793,0.103408
2.772275,0.103408
2.773758,0.103238
2.775243,0.103351
2.77673,0.103577
2.778218,0.10369
2.779707,0.104085
2.781199,0.10448
2.782691,0.10448
2.784185,0.104593
2.785681,0.105214
2.787179,0.105948
2.788678,0.105778
2.790179,0.105214
2.791682,0.104988
2.793186,0.105327
2.794692,0.105496
2.7962,0.105496
2.797709,0.105496
2.799219,0.105553
2.800731,0.105778
2.802245,0.106286
2.803761,0.106343
2.805278,0.105948
2.806797,0.105778
