Wavelength (nm),Pigeonite hs199 spliced
3635.452,0.204953
3638.003,0.205066
3640.558,0.205179
3643.116,0.205122
3645.679,0.205235
3648.244,0.205291
3650.813,0.205291
3653.386,0.205291
3655.962,0.205348
3658.543,0.205348
3661.126,0.205348
3663.713,0.205517
3666.304,0.205574
3668.898,0.205461
3671.497,0.205517
3674.099,0.205461
3676.705,0.205517
3679.314,0.205461
3681.927,0.205517
3684.544,0.205517
3687.165,0.205574
3689.789,0.205574
3692.417,0.205574
3695.049,0.205574
3697.685,0.20563
3700.324,0.20563
3702.967,0.205687
3705.615,0.205743
3708.265,0.205743
3710.92,0.205799
3713.578,0.205856
3716.24,0.205799
3718.906,0.205743
3721.576,0.205799
3724.249,0.205799
3726.926,0.205799
3729.607,0.205912
3732.292,0.206025
3734.981,0.206195
3737.674,0.206195
3740.371,0.206082
3743.071,0.206025
3745.776,0.206195
3748.485,0.206251
3751.197,0.206251
3753.913,0.206308
3756.634,0.206364
3759.358,0.206251
3762.086,0.206251
3764.818,0.20642
3767.554,0.206477
3770.293,0.206477
3773.037,0.206533
3775.785,0.20642
3778.537,0.206364
3781.293,0.206477
3784.053,0.206477
3786.817,0.20642
3789.586,0.206533
3792.358,0.20659
3795.134,0.206477
3797.915,0.206533
3800.699,0.206533
3803.488,0.20642
3806.28,0.20642
3809.077,0.206533
3811.877,0.20659
3814.683,0.20659
3817.492,0.206533
3820.305,0.206364
3823.123,0.206308
3825.944,0.206308
3828.77,0.206308
3831.6,0.206195
3834.434,0.206195
3837.271,0.206195
3840.113,0.206138
3842.96,0.206082
3845.811,0.206251
3848.666,0.206195
3851.525,0.206025
3854.389,0.205912
3857.257,0.205856
3860.13,0.205799
3863.006,0.205856
3865.887,0.205799
3868.772,0.205743
3871.661,0.205687
3874.554,0.205743
3877.452,0.205743
3880.355,0.205743
3883.262,0.20563
3886.173,0.20563
3889.088,0.20563
3892.008,0.205687
3894.932,0.205574
3897.861,0.205517
3900.793,0.205517
3903.731,0.205574
3906.672,0.205517
3909.618,0.205404
3912.569,0.205235
3915.524,0.205122
3918.483,0.205122
3921.447,0.205122
3924.416,0.205009
3927.389,0.204896
3930.367,0.20484
3933.349,0.204727
3936.336,0.204671
3939.327,0.204614
3942.322,0.204445
3945.323,0.204388
3948.327,0.204275
3951.337,0.203993
3954.351,0.203937
3957.37,0.203937
3960.393,0.203711
3963.421,0.203542
3966.453,0.203429
3969.49,0.203485
3972.532,0.203485
3975.579,0.203429
3978.629,0.203372
3981.685,0.203316
3984.745,0.203203
3987.81,0.20309
3990.88,0.203034
3993.955,0.203034
3997.034,0.202977
