Wavelength (µm)	ALH-271, spot f
4.1909	0.096172
4.1943	0.096463
4.1977	0.096238
4.2011	0.096134
4.2045	0.096310
4.2079	0.096174
4.2113	0.096142
4.2147	0.096380
4.2182	0.096795
4.2216	0.097110
4.2250	0.097330
4.2285	0.097645
4.2319	0.098005
4.2354	0.098000
4.2389	0.097949
4.2423	0.098117
4.2458	0.097698
4.2493	0.097326
4.2528	0.096838
4.2563	0.096474
4.2598	0.096116
4.2633	0.096078
4.2668	0.096489
4.2703	0.096761
4.2738	0.097066
4.2773	0.097532
4.2809	0.097321
4.2844	0.097125
4.2880	0.097289
4.2915	0.097441
4.2951	0.097502
4.2986	0.097585
4.3022	0.097558
4.3058	0.097543
4.3093	0.097372
4.3129	0.097102
4.3165	0.097145
4.3201	0.097132
4.3237	0.096977
4.3273	0.096700
4.3309	0.096508
4.3346	0.096546
4.3382	0.096634
4.3418	0.096270
4.3455	0.096272
4.3491	0.096512
4.3528	0.096257
4.3564	0.096333
4.3601	0.096753
4.3637	0.096947
4.3674	0.096800
4.3711	0.096510
4.3748	0.096619
4.3785	0.096923
4.3822	0.096906
4.3859	0.096755
4.3896	0.096612
4.3933	0.096862
4.3971	0.096993
4.4008	0.096819
4.4045	0.096962
4.4083	0.096876
4.4120	0.096717
4.4158	0.096776
4.4196	0.096789
4.4233	0.096789
4.4271	0.097040
4.4309	0.097226
4.4347	0.097000
4.4385	0.096878
4.4423	0.096989
4.4461	0.096996
4.4499	0.097027
4.4537	0.097189
4.4576	0.097215
4.4614	0.097060
4.4652	0.097064
4.4691	0.097072
4.4729	0.097198
4.4768	0.097419
4.4807	0.097347
4.4845	0.097317
4.4884	0.097194
4.4923	0.097213
4.4962	0.097313
4.5001	0.097309
4.5040	0.097236
4.5079	0.097334
4.5119	0.097475
4.5158	0.097389
4.5197	0.097336
4.5237	0.096991
4.5276	0.096923
4.5316	0.097087
4.5356	0.097021
4.5395	0.096906
4.5435	0.096919
4.5475	0.096853
4.5515	0.096713
4.5555	0.096619
4.5595	0.096687
4.5635	0.096693
4.5675	0.096595
4.5715	0.096478
4.5756	0.096244
4.5796	0.096029
4.5837	0.095901
4.5877	0.095744
4.5918	0.095525
4.5959	0.095423
4.5999	0.095220
4.6040	0.095016
4.6081	0.095060
