Wavelength (µm)	<125 µm (357)
5.2312	0.18427
5.2365	0.18422
5.2418	0.18440
5.2471	0.18475
5.2524	0.18495
5.2577	0.18515
5.2631	0.18540
5.2684	0.18563
5.2738	0.18591
5.2792	0.18618
5.2845	0.18643
5.2899	0.18641
5.2953	0.18619
5.3008	0.18596
5.3062	0.18572
5.3116	0.18540
5.3171	0.18515
5.3225	0.18487
5.3280	0.18459
5.3335	0.18428
5.3390	0.18369
5.3445	0.18290
5.3500	0.18187
5.3555	0.18053
5.3610	0.17899
5.3666	0.17760
5.3722	0.17632
5.3777	0.17502
5.3833	0.17385
5.3889	0.17268
5.3945	0.17140
5.4001	0.17001
5.4058	0.16848
5.4114	0.16683
5.4171	0.16509
5.4227	0.16350
5.4284	0.16240
5.4341	0.16139
5.4398	0.16036
5.4455	0.15943
5.4512	0.15868
5.4570	0.15831
5.4627	0.15811
5.4685	0.15814
5.4743	0.15837
5.4801	0.15856
5.4859	0.15900
5.4917	0.15936
5.4975	0.15952
5.5033	0.15971
5.5092	0.15980
5.5150	0.15966
5.5209	0.15932
5.5268	0.15883
5.5327	0.15822
5.5386	0.15737
5.5445	0.15624
5.5505	0.15484
5.5564	0.15285
5.5624	0.15049
5.5684	0.14771
5.5743	0.14450
5.5803	0.14080
5.5864	0.13711
5.5924	0.13357
5.5984	0.13033
5.6045	0.12750
5.6105	0.12551
5.6166	0.12403
5.6227	0.12322
5.6288	0.12304
5.6349	0.12317
5.6411	0.12358
5.6472	0.12460
5.6534	0.12592
5.6595	0.12752
5.6657	0.12955
5.6719	0.13165
5.6781	0.13397
5.6844	0.13668
5.6906	0.13922
5.6969	0.14168
5.7031	0.14416
5.7094	0.14636
5.7157	0.14870
5.7220	0.15114
5.7283	0.15335
5.7347	0.15534
5.7410	0.15704
5.7474	0.15850
5.7538	0.15973
5.7601	0.16051
5.7666	0.16049
5.7730	0.16069
5.7794	0.16052
5.7859	0.15978
5.7923	0.15906
5.7988	0.15823
5.8053	0.15738
5.8118	0.15659
5.8183	0.15576
5.8249	0.15507
5.8314	0.15477
5.8380	0.15433
5.8446	0.15369
5.8512	0.15296
5.8578	0.15219
5.8644	0.15146
5.8710	0.15097
5.8777	0.15043
5.8844	0.14982
5.8911	0.14986
5.8978	0.14954
5.9045	0.14967
5.9112	0.14958
5.9180	0.14912
5.9247	0.14861
5.9315	0.14772
5.9383	0.14654
5.9451	0.14570
5.9519	0.14443
5.9588	0.14290
5.9656	0.14139
5.9725	0.13987
5.9794	0.13866
5.9863	0.13737
5.9932	0.13649
6.0002	0.13625
6.0071	0.13645
6.0141	0.13737
6.0211	0.13937
6.0281	0.14238
6.0351	0.14613
6.0421	0.15067
