Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo90
2304.5	4.3393	4339.3	0.63912
2302.6	4.3429	4342.9	0.63891
2300.7	4.3465	4346.5	0.63853
2298.7	4.3502	4350.2	0.63819
2296.8	4.3538	4353.8	0.63777
2294.9	4.3575	4357.5	0.63737
2293.0	4.3611	4361.1	0.63691
2291.1	4.3648	4364.8	0.63648
2289.1	4.3685	4368.5	0.63600
2287.2	4.3722	4372.2	0.63553
2285.2	4.3759	4375.9	0.63498
2283.3	4.3796	4379.6	0.63452
2281.4	4.3833	4383.3	0.63398
2279.5	4.3870	4387.0	0.63348
2277.5	4.3907	4390.7	0.63296
2275.6	4.3944	4394.4	0.63251
2273.7	4.3981	4398.1	0.63202
2271.7	4.4019	4401.9	0.63160
2269.8	4.4056	4405.6	0.63113
2267.9	4.4094	4409.4	0.63072
2266.0	4.4131	4413.1	0.63028
2264.0	4.4169	4416.9	0.62992
2262.1	4.4206	4420.6	0.62950
2260.2	4.4244	4424.4	0.62915
2258.3	4.4282	4428.2	0.62876
2256.3	4.4320	4432.0	0.62838
2254.4	4.4358	4435.8	0.62793
2252.5	4.4396	4439.6	0.62758
2250.5	4.4434	4443.4	0.62715
2248.6	4.4472	4447.2	0.62674
2246.7	4.4510	4451.0	0.62623
2244.8	4.4548	4454.8	0.62573
2242.9	4.4586	4458.6	0.62518
2240.9	4.4625	4462.5	0.62474
2239.0	4.4663	4466.3	0.62433
2237.0	4.4702	4470.2	0.62401
2235.1	4.4740	4474.0	0.62357
2233.2	4.4779	4477.9	0.62327
2231.2	4.4818	4481.8	0.62293
2229.4	4.4856	4485.6	0.62260
2227.4	4.4895	4489.5	0.62219
2225.5	4.4934	4493.4	0.62178
2223.6	4.4973	4497.3	0.62138
2221.6	4.5012	4501.2	0.62107
2219.7	4.5051	4505.1	0.62067
2217.8	4.5090	4509.0	0.62037
2215.8	4.5130	4513.0	0.62000
2213.9	4.5169	4516.9	0.61959
2212.0	4.5208	4520.8	0.61914
2210.0	4.5248	4524.8	0.61869
2208.1	4.5287	4528.7	0.61813
2206.2	4.5327	4532.7	0.61759
2204.2	4.5367	4536.7	0.61696
2202.4	4.5406	4540.6	0.61640
2200.4	4.5446	4544.6	0.61570
2198.5	4.5486	4548.6	0.61509
2196.5	4.5526	4552.6	0.61442
2194.6	4.5566	4556.6	0.61371
2192.7	4.5606	4560.6	0.61290
2190.8	4.5646	4564.6	0.61216
2188.9	4.5686	4568.6	0.61126
2186.9	4.5727	4572.7	0.61039
2185.0	4.5767	4576.7	0.60946
2183.0	4.5808	4580.8	0.60860
2181.1	4.5848	4584.8	0.60764
2179.2	4.5889	4588.9	0.60678
2177.3	4.5929	4592.9	0.60591
2175.3	4.5970	4597.0	0.60505
2173.4	4.6011	4601.1	0.60410
2171.5	4.6052	4605.2	0.60334
2169.5	4.6093	4609.3	0.60254
2167.6	4.6134	4613.4	0.60178
2165.7	4.6175	4617.5	0.60101
2163.8	4.6216	4621.6	0.60030
2161.8	4.6257	4625.7	0.59957
2159.9	4.6298	4629.8	0.59898
2158.0	4.6340	4634.0	0.59830
2156.1	4.6381	4638.1	0.59774
2154.1	4.6423	4642.3	0.59714
2152.2	4.6464	4646.4	0.59662
2150.3	4.6506	4650.6	0.59611
2148.3	4.6548	4654.8	0.59565
2146.4	4.6590	4659.0	0.59511
2144.5	4.6631	4663.1	0.59463
2142.6	4.6673	4667.3	0.59405
2140.6	4.6715	4671.5	0.59344
2138.7	4.6758	4675.8	0.59277
2136.8	4.6800	4680.0	0.59217
2134.8	4.6842	4684.2	0.59154
2132.9	4.6884	4688.4	0.59099
2131.0	4.6927	4692.7	0.59040
2129.1	4.6969	4696.9	0.58988
2127.1	4.7012	4701.2	0.58919
2125.2	4.7055	4705.5	0.58853
2123.3	4.7097	4709.7	0.58774
2121.3	4.7140	4714.0	0.58696
2119.4	4.7183	4718.3	0.58600
2117.5	4.7226	4722.6	0.58513
2115.6	4.7269	4726.9	0.58407
2113.6	4.7312	4731.2	0.58306
2111.7	4.7355	4735.5	0.58198
2109.7	4.7399	4739.9	0.58112
2107.8	4.7442	4744.2	0.58014
2105.9	4.7485	4748.5	0.57931
2104.0	4.7529	4752.9	0.57839
2102.0	4.7573	4757.3	0.57755
2100.1	4.7616	4761.6	0.57666
2098.2	4.7660	4766.0	0.57579
2096.3	4.7704	4770.4	0.57476
2094.3	4.7748	4774.8	0.57369
2092.4	4.7792	4779.2	0.57252
2090.5	4.7836	4783.6	0.57127
2088.6	4.7880	4788.0	0.56991
2086.6	4.7924	4792.4	0.56847
2084.7	4.7969	4796.9	0.56690
2082.8	4.8013	4801.3	0.56531
2080.8	4.8058	4805.8	0.56360
2078.9	4.8102	4810.2	0.56193
2077.0	4.8147	4814.7	0.56016
2075.1	4.8191	4819.1	0.55843
2073.1	4.8236	4823.6	0.55654
2071.2	4.8281	4828.1	0.55457
2069.3	4.8326	4832.6	0.55234
2067.4	4.8371	4837.1	0.54999
2065.4	4.8416	4841.6	0.54733
2063.5	4.8462	4846.2	0.54433
2061.6	4.8507	4850.7	0.54074
2059.6	4.8553	4855.3	0.53668
2057.7	4.8598	4859.8	0.53197
2055.8	4.8644	4864.4	0.52667
2053.9	4.8689	4868.9	0.52082
2051.9	4.8735	4873.5	0.51459
2050.0	4.8781	4878.1	0.50799
2048.0	4.8827	4882.7	0.50135
2046.1	4.8873	4887.3	0.49465
2044.2	4.8919	4891.9	0.48816
2042.3	4.8965	4896.5	0.48188
2040.4	4.9011	4901.1	0.47593
2038.4	4.9058	4905.8	0.47020
2036.5	4.9104	4910.4	0.46470
2034.5	4.9151	4915.1	0.45927
2032.6	4.9197	4919.7	0.45415
2030.7	4.9244	4924.4	0.44939
2028.8	4.9291	4929.1	0.44530
2026.8	4.9338	4933.8	0.44205
2024.9	4.9385	4938.5	0.43985
2023.0	4.9432	4943.2	0.43865
2021.1	4.9479	4947.9	0.43844
2019.1	4.9526	4952.6	0.43887
2017.2	4.9574	4957.4	0.43975
2015.3	4.9621	4962.1	0.44077
2013.3	4.9669	4966.9	0.44188
2011.4	4.9716	4971.6	0.44290
2009.5	4.9764	4976.4	0.44392
2007.5	4.9812	4981.2	0.44486
2005.6	4.9860	4986.0	0.44577
2003.7	4.9908	4990.8	0.44662
2001.8	4.9956	4995.6	0.44746
1999.8	5.0004	5000.4	0.44814
1997.9	5.0052	5005.2	0.44883
1996.0	5.0100	5010.0	0.44942
1994.1	5.0149	5014.9	0.44997
1992.1	5.0198	5019.8	0.45045
1990.2	5.0246	5024.6	0.45083
1988.3	5.0295	5029.5	0.45103
1986.3	5.0344	5034.4	0.45111
1984.4	5.0393	5039.3	0.45097
1982.5	5.0442	5044.2	0.45073
1980.6	5.0491	5049.1	0.45027
1978.6	5.0540	5054.0	0.44966
1976.7	5.0589	5058.9	0.44888
1974.8	5.0639	5063.9	0.44806
1972.9	5.0688	5068.8	0.44716
1970.9	5.0738	5073.8	0.44626
1969.0	5.0788	5078.8	0.44531
