Wavelength (µm) raw,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum raw,Wavelength (µm) bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum bin avg,Wavelength (µm) cubic spline of bin avg,BKR1KW003E anorthite Kierra <45µm heated 650 °C under vacuum cubic spline of bin avg
1.585,0.905512,,,,
1.59,0.905626,,,,
1.595,0.905864,,,,
1.6,0.906365,,,,
1.605,0.906232,,,,
1.61,0.906568,,,,
1.615,0.907122,,,,
1.62,0.907209,,,,
1.625,0.907401,,,,
1.63,0.907124,,,,
1.635,0.907379,,,,
1.64,0.907981,,,,
1.645,0.909106,,,,
1.65,0.909353,,,,
1.655,0.909316,,,,
1.66,0.910217,,,,
1.665,0.911796,,,,
1.67,0.911898,,,,
1.675,0.912193,,,,
1.68,0.913177,,,,
1.685,0.913876,,,,
1.69,0.91418,,,,
1.695,0.914234,,,,
1.7,0.913778,,,,
1.705,0.914538,,,,
1.71,0.914596,,,,
1.715,0.914838,,,,
1.72,0.914917,,,,
1.725,0.914853,,,,
1.73,0.9147,,,,
1.735,0.914177,,,,
1.74,0.914142,,,,
1.745,0.914618,,,,
1.75,0.914164,,,,
1.755,0.914207,,,,
1.76,0.914366,,,,
1.765,0.915135,,,,
1.77,0.914764,,,,
1.775,0.915175,,,,
1.78,0.914881,,,,
1.785,0.915087,,,,
1.79,0.915627,,,,
1.795,0.914718,,,,
1.8,0.915142,,,,
1.805,0.915438,,,,
1.81,0.915208,,,,
1.815,0.916596,,,,
1.82,0.915944,,,,
1.825,0.916604,,,,
1.83,0.916592,,,,
1.835,0.916174,,,,
1.84,0.916485,,,,
1.845,0.916378,,,,
1.85,0.916428,,,,
1.855,0.916608,,,,
1.86,0.917225,,,,
1.865,0.915726,,,,
1.87,0.914616,,,,
1.875,0.916315,,,,
1.88,0.91667,,,,
1.885,0.915723,,,,
1.89,0.916165,,,,
1.895,0.915842,,,,
1.9,0.914966,,,,
1.905,0.915064,,,,
1.91,0.915442,,,,
1.915,0.914428,,,,
1.92,0.914357,,,,
1.925,0.913892,,,,
1.93,0.915347,,,,
1.935,0.915101,,,,
1.94,0.914926,,,,
1.945,0.915679,,,,
1.95,0.915815,,,,
1.955,0.915947,,,,
1.96,0.916165,,,,
1.965,0.915975,,,,
1.97,0.916383,,,,
1.975,0.916428,,,,
1.98,0.91658,,,,
1.985,0.916808,,,,
1.99,0.916683,,,,
1.995,0.917525,,,,
2.0,0.917646,,,,
2.005,0.917615,,,,
2.01,0.917582,,,,
2.015,0.918356,,,,
2.02,0.917689,,,,
2.025,0.918141,,,,
2.03,0.918584,,,,
2.035,0.918275,,,,
2.04,0.918022,,,,
2.045,0.918121,,,,
2.05,0.918183,,,,
2.055,0.918389,,,,
2.06,0.917625,,,,
2.065,0.917761,,,,
2.07,0.918124,,,,
2.075,0.917967,,,,
2.08,0.918258,,,,
2.085,0.918724,,,,
2.09,0.917991,,,,
2.095,0.918773,,,,
2.1,0.918103,,,,
2.105,0.918324,,,,
2.11,0.918415,,,,
2.115,0.91871,,,,
2.12,0.918838,,,,
2.125,0.918432,,,,
2.13,0.918762,,,,
2.135,0.918397,,,,
2.14,0.917996,,,,
2.145,0.918057,,,,
2.15,0.917876,,,,
2.155,0.917223,,,,
2.16,0.917392,,,,
2.165,0.917763,,,,
2.17,0.917259,,,,
2.175,0.917542,,,,
2.18,0.918133,,,,
2.185,0.917958,,,,
2.19,0.918223,,,,
2.195,0.91891,,,,
2.2,0.918253,,,,
2.205,0.919249,,,,
2.21,0.91813,,,,
2.215,0.919023,,,,
2.22,0.918523,,,,
2.225,0.919004,,,,
2.23,0.918671,,,,
2.235,0.9187,,,,
2.24,0.918707,,,,
2.245,0.918514,,,,
2.25,0.919368,,,,
2.255,0.919355,,,,
2.26,0.91924,,,,
2.265,0.919993,,,,
2.27,0.920337,,,,
2.275,0.92069,,,,
2.28,0.92117,,,,
2.285,0.921445,,,,
2.29,0.921704,,,,
2.295,0.922153,,,,
2.3,0.922662,,,,
2.305,0.923028,,,,
2.31,0.923439,,,,
2.315,0.923816,,,,
2.32,0.924046,,,,
2.325,0.92436,,,,
2.33,0.924596,,,,
2.335,0.924826,,,,
2.34,0.925271,,,,
2.345,0.925482,,,,
2.35,0.925345,,,,
2.355,0.925359,,,,
2.36,0.924975,,,,
2.365,0.924348,,,,
2.37,0.923455,,,,
2.375,0.923092,,,,
2.38,0.922922,,,,
2.385,0.92252,,,,
2.39,0.92274,,,,
2.395,0.922977,,,,
2.4,0.923271,,,,
2.405,0.922815,,,,
2.41,0.923159,,,,
2.415,0.92273,,,,
2.42,0.922637,,,,
2.425,0.922579,,,,
2.43,0.922678,,,,
2.435,0.922983,,,,
2.44,0.922068,,,,
2.445,0.92304,,,,
2.45,0.922123,,,,
2.455,0.922592,,,,
2.46,0.922621,,,,
2.465,0.922941,,,,
2.47,0.922519,,,,
2.475,0.923168,,,,
2.48,0.924078,,,,
2.485,0.923947,,,,
2.49,0.923901,,,,
2.495,0.923996,,,,
2.5,0.924874,,,,
2.5002,0.924873,,,,
2.50141,0.924828,,,,
2.50262,0.924815,,,,
2.50383,0.924826,,,,
2.50503,0.924815,,,,
2.50625,0.924794,,,,
2.50746,0.924794,,,,
2.50867,0.924806,,,,
2.50989,0.924873,,,,
2.5111,0.924921,,,,
2.51232,0.924878,,,,
2.51353,0.924837,,,,
2.51475,0.924837,,,,
2.51597,0.924871,,,,
2.51719,0.924925,,,,
2.51842,0.924929,,,,
2.51964,0.924959,,,,
2.52087,0.924951,,,,
2.52209,0.924895,,,,
2.52332,0.924914,,,,
2.52455,0.924914,,,,
2.52578,0.924945,,,,
2.52701,0.924916,,,,
2.52824,0.924891,,,,
2.52947,0.924992,,,,
2.53071,0.925046,,,,
2.53194,0.925052,,,,
2.53318,0.925052,,,,
2.53442,0.925042,,,,
2.53566,0.925061,,,,
2.5369,0.925115,,,,
2.53814,0.925152,,,,
2.53938,0.925164,,,,
2.54063,0.925156,,,,
2.54187,0.92513,,,,
2.54312,0.925203,,,,
2.54437,0.925164,,,,
2.54562,0.925143,,,,
2.54687,0.925242,,,,
2.54812,0.925303,,,,
2.54937,0.925262,,,,
2.55063,0.925227,,,,
2.55188,0.925277,,,,
2.55314,0.925369,,,,
2.55439,0.925339,,,,
2.55565,0.925251,,,,
2.55691,0.925225,,,,
2.55817,0.925218,,,,
2.55944,0.925212,,,,
2.5607,0.925348,,,,
2.56197,0.925482,,,,
2.56323,0.925494,,,,
2.5645,0.925475,,,,
2.56577,0.925428,,,,
2.56704,0.925331,,,,
2.56831,0.925337,,,,
2.56958,0.925468,,,,
2.57086,0.925453,,,,
2.57213,0.925415,,,,
2.57341,0.92563,,,,
2.57469,0.925574,,,,
2.57597,0.925484,,,,
2.57725,0.925503,,,,
2.57853,0.925456,,,,
2.57981,0.925436,,,,
2.5811,0.925449,,,,
2.58238,0.925482,,,,
2.58367,0.925717,,,,
2.58496,0.925716,,,,
