Wavelength (µm),Orthoclase nmnh142137.17360,Wavelength (µm) target,Orthoclase nmnh142137.17360 target
2.460443,0.811943,,
2.461612,0.811943,,
2.462781,0.811696,,
2.463952,0.811511,,
2.465123,0.811387,,
2.466296,0.811387,,
2.46747,0.811264,,
2.468645,0.810955,,
2.469821,0.810708,,
2.470998,0.810708,,
2.472176,0.810646,,
2.473356,0.810523,,
2.474536,0.810523,,
2.475718,0.810399,,
2.476901,0.810399,,
2.478085,0.810276,,
2.47927,0.810152,,
2.480456,0.810152,,
2.481644,0.809967,,
2.482832,0.809782,,
2.484022,0.809597,,
2.485213,0.809473,,
2.486404,0.809226,,
2.487597,0.809164,,
2.488792,0.809164,,
2.489987,0.809103,,
2.491184,0.808979,,
2.492381,0.809041,,
2.493581,0.808917,,
2.494781,0.808732,,
2.495982,0.808547,,
2.497184,0.808609,,
2.498387,0.808609,,
2.499592,0.808609,,
2.500798,0.808547,,
2.502005,0.808362,,
2.503213,0.8083,,
2.504422,0.808362,,
2.505633,0.808238,,
2.506844,0.808238,,
2.508057,0.808485,,
2.509271,0.8083,,
2.510486,0.8083,,
2.511703,0.808238,,
2.51292,0.808053,,
2.514138,0.807991,,
2.515358,0.807991,,
2.516579,0.808115,,
2.517802,0.808115,,
2.519025,0.808177,,
2.52025,0.8083,,
2.521476,0.808547,,
2.522703,0.808547,,
2.523931,0.808485,,
2.52516,0.808485,,
2.526391,0.808547,,
2.527622,0.808547,,
2.528856,0.808609,,
2.53009,0.808547,,
2.531325,0.808423,,
2.532562,0.808609,,
2.5338,0.808979,,
2.535039,0.808794,,
2.536279,0.808732,,
2.53752,0.809411,,
2.538763,0.809658,,
2.540007,0.809782,,
2.541252,0.809411,,
2.542498,0.808794,,
2.543746,0.809164,,
2.544994,0.809843,,
2.546244,0.809843,,
2.547495,0.809597,,
2.548748,0.810029,,
2.550002,0.809782,,
2.551256,0.809103,,
2.552513,0.808856,,
2.553771,0.810152,,
2.555029,0.811078,,
2.556289,0.811202,,
2.55755,0.811202,,
2.558813,0.810461,,
2.560076,0.808053,,
2.561341,0.806386,,
2.562607,0.806571,,
2.563875,0.807312,,
2.565143,0.809597,,
2.566413,0.811449,,
2.567684,0.810584,,
2.568957,0.808485,,
2.57023,0.809226,,
2.571505,0.810029,,
2.572781,0.807189,,
2.574058,0.808547,,
2.575337,0.809782,,
2.576617,0.808856,,
2.577898,0.810276,,
2.579181,0.81114,,
2.580465,0.809473,,
2.58175,0.808794,,
2.583036,0.806139,,
2.584324,0.80688,,
2.585613,0.809164,,
