Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
2.293873,0.762231,,
2.294889,0.762147,,
2.295905,0.762063,,
2.296922,0.762147,,
2.29794,0.762398,,
2.29896,0.762398,,
2.299979,0.762315,,
2.301001,0.762231,,
2.302022,0.762398,,
2.303045,0.762482,,
2.304068,0.762482,,
2.305093,0.762398,,
2.306118,0.762398,,
2.307145,0.761728,,
2.308172,0.76131,,
2.309201,0.76198,,
2.31023,0.762398,,
2.31126,0.761896,,
2.31229,0.762147,,
2.313322,0.761896,,
2.314355,0.762063,,
2.315388,0.762231,,
2.316423,0.761812,,
2.317458,0.762063,,
2.318495,0.762315,,
2.319532,0.76198,,
2.32057,0.761728,,
2.321609,0.761728,,
2.32265,0.761896,,
2.323691,0.761812,,
2.324733,0.761812,,
2.325776,0.761812,,
2.32682,0.762147,,
2.327865,0.76198,,
2.32891,0.761477,,
2.329957,0.761645,,
2.331005,0.761561,,
2.332053,0.760807,,
2.333103,0.761059,,
2.334153,0.76131,,
2.335205,0.761142,,
2.336257,0.761059,,
2.33731,0.760975,,
2.338365,0.76064,,
2.33942,0.76064,,
2.340476,0.760975,,
2.341533,0.760807,,
2.342591,0.76064,,
2.34365,0.760305,,
2.34471,0.760389,,
2.345771,0.76064,,
2.346833,0.760556,,
2.347896,0.760389,,
2.34896,0.76064,,
2.350024,0.760891,,
2.35109,0.760724,,
2.352157,0.760305,,
2.353225,0.760221,,
2.354293,0.760054,,
2.355363,0.759886,,
2.356434,0.759886,,
2.357505,0.760221,,
2.358577,0.76064,,
2.359651,0.760556,,
2.360726,0.75997,,
2.361801,0.759551,,
2.362878,0.759719,,
2.363955,0.760054,,
2.365033,0.759886,,
2.366114,0.759802,,
2.367194,0.759802,,
2.368275,0.759635,,
2.369358,0.759216,,
2.370441,0.758965,,
2.371525,0.759216,,
2.372611,0.758965,,
2.373697,0.758881,,
2.374785,0.75863,,
2.375873,0.758211,,
2.376962,0.758211,,
2.378052,0.758379,,
2.379144,0.758462,,
2.380236,0.758546,,
2.38133,0.759049,,
2.382424,0.759384,,
2.383519,0.759132,,
2.384615,0.758714,,
2.385713,0.758379,,
2.386811,0.758546,,
2.387911,0.758379,,
2.389011,0.75796,,
2.390113,0.75796,,
2.391215,0.758462,,
2.392318,0.758211,,
2.393423,0.757709,,
2.394528,0.757625,,
2.395635,0.757374,,
2.396743,0.757123,,
2.397851,0.757374,,
2.398961,0.757709,,
2.400071,0.757541,,
2.401183,0.757625,,
2.402296,0.757709,,
2.40341,0.757541,,
2.404524,0.757123,,
2.40564,0.756871,,
2.406757,0.756871,,
2.407875,0.756955,,
2.408994,0.756788,,
2.410113,0.756788,,
2.411234,0.756788,,
2.412356,0.756704,,
2.413479,0.756704,,
2.414603,0.756536,,
2.415729,0.75662,,
2.416855,0.756369,,
2.417982,0.755866,,
2.419111,0.755531,,
2.42024,0.756034,,
2.421371,0.75595,,
2.422502,0.755364,,
2.423635,0.755029,,
2.424768,0.755364,,
2.425903,0.755196,,
2.427038,0.754526,,
2.428176,0.754443,,
2.429314,0.754275,,
2.430453,0.754192,,
2.431592,0.754192,,
2.432734,0.754024,,
2.433876,0.753857,,
2.435019,0.753438,,
2.436163,0.753019,,
2.437308,0.753187,,
2.438454,0.753605,,
2.439602,0.753438,,
2.44075,0.753019,,
2.4419,0.752684,,
2.443051,0.752517,,
2.444203,0.752684,,
2.445355,0.7526,,
2.44651,0.752433,,
2.447665,0.752098,,
2.448821,0.751847,,
2.449978,0.751679,,
2.451137,0.751512,,
2.452296,0.751428,,
2.453457,0.751763,,
2.454618,0.75193,,
2.455781,0.751763,,
2.456945,0.751344,,
2.45811,0.751177,,
2.459276,0.751009,,
2.460443,0.750758,,
2.461612,0.750926,,
2.462781,0.750926,,
2.463952,0.750674,,
2.465123,0.750507,,
2.466296,0.750507,,
2.46747,0.750842,,
2.468645,0.750758,,
2.469821,0.750256,,
2.470998,0.750172,,
2.472176,0.750172,,
2.473356,0.749921,,
2.474536,0.750423,,
2.475718,0.750674,,
2.476901,0.750172,,
2.478085,0.750088,,
2.47927,0.750004,,
2.480456,0.749837,,
2.481644,0.749669,,
2.482832,0.749586,,
2.484022,0.749586,,
2.485213,0.749502,,
2.486404,0.749167,,
2.487597,0.749167,,
2.488792,0.748999,,
2.489987,0.748999,,
2.491184,0.749167,,
2.492381,0.748916,,
2.493581,0.748832,,
2.494781,0.748999,,
2.495982,0.748665,,
2.497184,0.748413,,
2.498387,0.74833,,
2.499592,0.748162,,
2.500798,0.747995,,
2.502005,0.748497,,
2.503213,0.748413,,
2.504422,0.747743,,
2.505633,0.747241,,
2.506844,0.747325,,
2.508057,0.747325,,
2.509271,0.747492,,
2.510486,0.74766,,
2.511703,0.747325,,
2.51292,0.747408,,
2.514138,0.747576,,
2.515358,0.747325,,
2.516579,0.746822,,
2.517802,0.746571,,
2.519025,0.746906,,
2.52025,0.747073,,
2.521476,0.746906,,
2.522703,0.746487,,
2.523931,0.746571,,
2.52516,0.74632,,
2.526391,0.746236,,
2.527622,0.746236,,
2.528856,0.745985,,
2.53009,0.746068,,
2.531325,0.74632,,
2.532562,0.746236,,
2.5338,0.74632,,
2.535039,0.746152,,
2.536279,0.746068,,
2.53752,0.746068,,
2.538763,0.746068,,
2.540007,0.745901,,
2.541252,0.746068,,
2.542498,0.746487,,
2.543746,0.746152,,
2.544994,0.745901,,
2.546244,0.745817,,
2.547495,0.745733,,
2.548748,0.745566,,
2.550002,0.745733,,
2.551256,0.74632,,
2.552513,0.746403,,
2.553771,0.745985,,
2.555029,0.745399,,
2.556289,0.745733,,
2.55755,0.745733,,
2.558813,0.745399,,
2.560076,0.74565,,
2.561341,0.746236,,
2.562607,0.745901,,
2.563875,0.745817,,
2.565143,0.745733,,
2.566413,0.745147,,
2.567684,0.744812,,
2.568957,0.745231,,
2.57023,0.745482,,
2.571505,0.745063,,
2.572781,0.745231,,
2.574058,0.745399,,
2.575337,0.745063,,
2.576617,0.745147,,
2.577898,0.744561,,
2.579181,0.74431,,
2.580465,0.744477,,
2.58175,0.744226,,
2.583036,0.744477,,
2.584324,0.744812,,
2.585613,0.744142,,
2.586903,0.744142,,
2.588195,0.744226,,
2.589488,0.743807,,
2.590782,0.743389,,
2.592077,0.743221,,
2.593373,0.743975,,
2.594671,0.745399,,
2.595971,0.744226,,
2.597271,0.742719,,
2.598573,0.742384,,
2.599876,0.742802,,
2.601181,0.742802,,
2.602487,0.742719,,
2.603794,0.742719,,
2.605102,0.74297,,
2.606412,0.742802,,
2.607723,0.7423,,
2.609035,0.742216,,
2.610349,0.741881,,
2.611664,0.741463,,
2.612981,0.741463,,
2.614299,0.741379,,
2.615618,0.741463,,
2.616938,0.741881,,
2.61826,0.741044,,
2.619583,0.741044,,
2.620907,0.741211,,
2.622233,0.740123,,
2.62356,0.739955,,
2.624888,0.739704,,
2.626217,0.740123,,
2.627548,0.739871,,
2.628881,0.739453,,
2.630215,0.740206,,
2.63155,0.740039,,
2.632886,0.739285,,
2.634224,0.738783,,
2.635564,0.738364,,
2.636904,0.738448,,
2.638246,0.738197,,
2.63959,0.737694,,
2.640934,0.737192,,
2.64228,0.73694,,
2.643628,0.736773,,
2.644976,0.736857,,
2.646327,0.73627,,
2.647678,0.735517,,
2.649031,0.735182,,
2.650386,0.735182,,
2.651741,0.734931,,
2.653098,0.734596,,
2.654457,0.733926,,
2.655817,0.733507,,
2.657177,0.732837,,
2.65854,0.732586,,
2.659904,0.732167,,
2.66127,0.731413,,
2.662637,0.730492,,
2.664005,0.730241,,
2.665375,0.73066,,
2.666745,0.729739,,
2.668118,0.728147,,
2.669492,0.727812,,
2.670867,0.727143,,
2.672244,0.724295,,
2.673622,0.722872,,
2.675002,0.722537,,
2.676383,0.722034,,
2.677765,0.720778,,
