Wavelength (µm),Sanidine gds19.19876,Wavelength (µm) target,Sanidine gds19.19876 target
1.81391,0.846396,,
1.814545,0.846127,,
1.81518,0.846181,,
1.815816,0.84661,,
1.816452,0.846718,,
1.817089,0.84704,,
1.817726,0.846879,,
1.818363,0.847147,,
1.819001,0.847469,,
1.81964,0.847147,,
1.820279,0.846825,,
1.820918,0.847415,,
1.821558,0.847469,,
1.822199,0.847684,,
1.822839,0.847952,,
1.82348,0.848167,,
1.824122,0.848381,,
1.824764,0.848435,,
1.825406,0.847952,,
1.826049,0.84763,,
1.826693,0.848274,,
1.827337,0.84865,,
1.827981,0.848542,,
1.828626,0.84865,,
1.829271,0.848864,,
1.829917,0.849079,,
1.830563,0.848811,,
1.83121,0.848918,,
1.831857,0.849294,,
1.832504,0.849455,,
1.833152,0.849723,,
1.833801,0.84983,,
1.83445,0.849669,,
1.835099,0.849669,,
1.835749,0.849347,,
1.836399,0.849777,,
1.83705,0.849991,,
1.837701,0.849938,,
1.838353,0.850635,,
1.839005,0.850313,,
1.839658,0.849669,,
1.840311,0.85026,,
1.840964,0.850206,,
1.841618,0.849669,,
1.842272,0.850689,,
1.842927,0.851494,,
1.843583,0.851709,,
1.844238,0.851601,,
1.844895,0.851601,,
1.845551,0.85144,,
1.846209,0.850689,,
1.846867,0.850206,,
1.847525,0.850743,,
1.848184,0.851226,,
1.848843,0.851977,,
1.849502,0.852031,,
1.850162,0.851977,,
1.850823,0.85187,,
1.851484,0.852299,,
1.852145,0.852084,,
1.852807,0.851655,,
1.853469,0.851226,,
1.854132,0.851762,,
1.854796,0.852513,,
1.855459,0.852567,,
1.856124,0.851762,,
1.856789,0.852084,,
1.857454,0.852889,,
1.85812,0.852728,,
1.858786,0.851977,,
1.859453,0.851172,,
1.86012,0.851655,,
1.860788,0.852406,,
1.861456,0.852513,,
1.862124,0.852406,,
1.862794,0.852299,,
1.863463,0.852245,,
1.864133,0.852192,,
1.864804,0.852353,,
1.865475,0.852513,,
1.866146,0.85246,,
1.866818,0.851709,,
1.867491,0.850796,,
1.868164,0.851279,,
1.868837,0.851548,,
1.869511,0.851548,,
1.870185,0.850689,,
1.87086,0.850099,,
1.871536,0.85085,,
1.872212,0.850206,,
1.872888,0.849562,,
1.873565,0.850474,,
1.874242,0.851279,,
1.87492,0.850796,,
1.875599,0.850689,,
1.876277,0.850099,,
1.876957,0.850045,,
1.877637,0.850796,,
1.878317,0.851065,,
1.878998,0.851011,,
1.879679,0.850957,,
1.880361,0.850635,,
1.881043,0.850474,,
1.881726,0.850582,,
1.882409,0.850528,,
1.883093,0.850099,,
1.883777,0.849777,,
1.884462,0.850152,,
1.885147,0.850421,,
1.885833,0.850206,,
1.886519,0.850099,,
1.887206,0.850152,,
1.887893,0.85026,,
1.888581,0.850099,,
1.889269,0.849508,,
1.889958,0.849186,,
1.890647,0.849669,,
1.891337,0.849562,,
1.892027,0.849401,,
1.892718,0.849562,,
1.893409,0.849455,,
1.894101,0.849562,,
1.894793,0.849669,,
1.895486,0.849991,,
1.896179,0.849777,,
1.896873,0.849347,,
1.897568,0.848972,,
