Step Size,Wavelength (µm),"Strip 325 330, morning/midday, lat 30 - Back","Strip 325 330, morning/midday, lat 30","Strip 325 330, morning/midday, lat 0 - Back","Strip 325 330, morning/midday, lat 0","Strip 325 330, morning/midday, lat -30 - Back","Strip 325 330, morning/midday, lat -30","Strip 295 305, morning/midday, lat 60 - Back","Strip 295 305, morning/midday, lat 60","Strip 295 305, morning/midday, lat 30 - Back","Strip 295 305, morning/midday, lat 30","Strip 295 305, morning/midday, lat 0 - Back","Strip 295 305, morning/midday, lat 0","Strip 295 305, morning/midday, lat -30 - Back","Strip 295 305, morning/midday, lat -30","Strip 240 250, morning/midday, lat 60 - Back","Strip 240 250, morning/midday, lat 60","Strip 240 250, morning/midday, lat 30 - Back","Strip 240 250, morning/midday, lat 30","Back = Strip 240 250, morning/midday, lat -30"
0.04,2.2176,0.0076161,0.99803,0.012375,1.0028,0.0093704,0.99978,0.0090634,0.99947,0.0091372,0.99955,0.013122,1.0035,0.010338,1.0007,-0.0053176,0.98509,0.0034639,0.99387,0.99041
0.0399,2.2576,0.0063479,1.0021,0.010137,1.0058,0.0081058,1.0038,0.0073153,1.003,0.0065428,1.0023,0.011317,1.007,0.0063753,1.0021,-0.0012136,0.9945,0.0037128,0.99943,0.99571
0.0399,2.2975,0.0034587,1.0027,0.006904,1.0061,0.0070927,1.0063,0.0048392,1.0041,0.0078783,1.0071,0.0093095,1.0085,0.0018598,1.0011,-0.00032663,0.99891,0.00089347,1.0001,0.99924
0.0399,2.3374,0.0048232,0.99861,0.0049565,0.99874,0.0081807,1.002,0.0025008,0.99629,0.002315,0.9961,0.0072173,1.001,0.0055515,0.99934,0.0023652,0.99615,0.0011154,0.9949,0.99379
0.04,2.3773,0,1,1.19E-07,1,1.19E-07,1,0,1,0,1,0,1,0,1,0,1,0,1,1
0.0399,2.4173,-0.0040128,0.99094,-0.0056902,0.98927,0.0030943,0.99805,-7.22E-05,0.99488,-0.0063028,0.98865,-0.0037353,0.99122,-4.84E-05,0.99491,-0.0067289,0.98823,-0.0017897,0.99317,0.99496
0.0399,2.4572,0.0031976,0.99198,-0.0065082,0.98227,0.0028911,0.99167,-0.0011041,0.98767,-0.014669,0.97411,-0.0049793,0.9838,0.00011587,0.98889,-0.0082831,0.9805,-0.00098377,0.98779,0.98878
0.0399,2.4971,-0.00088161,0.99152,-0.010928,0.98148,-0.0013023,0.9911,-0.00029224,0.99211,-0.017223,0.97518,-0.0099175,0.98249,-0.0018269,0.99058,-0.0064618,0.98594,-0.00066733,0.99174,0.99241
0.04,2.537,-0.0009048,0.98663,-0.015549,0.97198,0.00089818,0.98843,0.0045056,0.99204,-0.024589,0.96294,-0.016552,0.97098,-0.0021213,0.98541,-0.0063538,0.98118,0.0011184,0.98865,0.98753
0.0399,2.577,-0.0074447,0.98011,-0.03179,0.95576,-0.0065778,0.98097,-6.15E-05,0.98749,-0.028735,0.95882,-0.023675,0.96388,-0.0071278,0.98042,-0.010268,0.97728,-0.0014022,0.98615,0.98755
0.0399,2.6169,-0.0054913,0.98512,-0.033685,0.95692,-0.0099097,0.9807,-0.0016595,0.98895,-0.037343,0.95327,-0.033887,0.95672,-0.012194,0.97841,-0.0024853,0.98812,-0.0022405,0.98837,0.99061
0.0399,2.6568,-0.011703,0.9825,-0.043561,0.95064,-0.011633,0.98257,-0.0042149,0.98999,-0.043687,0.95052,-0.047889,0.94631,-0.017032,0.97717,-0.0074531,0.98675,-0.0046418,0.98956,0.9942
0.04,2.6967,-0.017999,0.97431,-0.055726,0.93658,-0.012286,0.98003,-0.0076579,0.98465,-0.061621,0.93069,-0.064638,0.92767,-0.02388,0.96843,-0.018743,0.97357,-0.0055231,0.98679,0.99231
0.0399,2.7367,-0.015276,0.95088,-0.066693,0.89946,-0.012809,0.95335,-0.0015897,0.96457,-0.076551,0.88961,-0.083326,0.88283,-0.022854,0.9433,-0.026858,0.9393,-0.0058763,0.96028,0.96616
0.0399,2.7766,-0.017484,0.93878,-0.074719,0.88155,-0.0067143,0.94955,0.0011662,0.95743,-0.086276,0.86999,-0.10122,0.85504,-0.026671,0.92959,-0.033747,0.92252,-0.0043185,0.95195,0.95627
0.0399,2.8165,-0.019879,0.93,-0.094273,0.8556,-0.014618,0.93526,-0.0056217,0.94425,-0.10938,0.8405,-0.12692,0.82296,-0.039139,0.91074,-0.048594,0.90128,-0.0075551,0.94232,0.94987
0.0399,2.8564,-0.018073,0.92556,-0.10926,0.83437,-0.027934,0.9157,0.00062478,0.94426,-0.12383,0.81981,-0.15054,0.7931,-0.043268,0.90037,-0.04599,0.89764,-0.0079893,0.93565,0.94363
0.04,2.8963,-0.016012,0.9279,-0.12463,0.81928,-0.03949,0.90442,-0.0053403,0.93857,-0.13709,0.80682,-0.17187,0.77204,-0.048925,0.89498,-0.051381,0.89253,-0.003354,0.94056,0.94391
,2.9363,-0.018065,0.94102,-0.16416,0.79492,-0.067807,0.89128,-0.014019,0.94507,-0.15975,0.79934,-0.2119,0.74719,-0.061645,0.89744,-0.060178,0.89891,0.0012444,0.96033,0.95908
